f	pi	p0
0.02564	602.0	422.0
0.05128	265.0	281.0
0.07692	171.0	239.0
0.10256	135.0	204.0
0.12821	93.0	212.0
0.15385	97.0	199.0
0.17949	78.0	151.0
0.20513	97.0	158.0
0.23077	87.0	167.0
0.25641	80.0	153.0
0.28205	61.0	145.0
0.30769	65.0	157.0
0.33333	80.0	137.0
0.35897	63.0	149.0
0.38462	57.0	143.0
0.41026	47.0	158.0
0.4359	53.0	120.0
0.46154	35.0	130.0
0.48718	60.0	161.0
0.51282	70.0	117.0
0.53846	59.0	126.0
0.5641	56.0	111.0
0.58974	46.0	129.0
0.61538	44.0	125.0
0.64103	45.0	126.0
0.66667	42.0	115.0
0.69231	56.0	117.0
0.71795	41.0	120.0
0.74359	39.0	118.0
0.76923	32.0	115.0
0.79487	52.0	136.0
0.82051	44.0	114.0
0.84615	32.0	102.0
0.87179	41.0	101.0
0.89744	36.0	110.0
0.92308	33.0	78.0
0.94872	33.0	120.0
0.97436	33.0	83.0
1.0	42.0	91.0
