f	pi	p0
0.025	200210	185716
0.05	31243	47830
0.075	12382	22897
0.1	7346	14921
0.125	5128	11071
0.15	3902	8761
0.175	2359	5525
0.2	2726	6482
0.225	2306	5506
0.25	1957	4792
0.275	1694	4331
0.3	1509	3948
0.325	1368	3595
0.35	1023	2484
0.375	1141	3123
0.4	1114	3005
0.425	1050	2784
0.45	931	2612
0.475	872	2531
0.5	945	2414
0.525	682	1748
0.55	818	2128
0.575	759	2035
0.6	774	2051
0.625	732	1927
0.65	766	1925
0.675	544	1442
0.7	692	1844
0.725	680	1888
0.75	711	1832
0.775	687	1779
0.8	729	1870
0.825	778	1950
0.85	629	1456
0.875	816	2070
0.9	879	2232
0.925	1049	2466
0.95	1316	3011
0.975	2242	4286
