f	pi	p0
0.02564	7867.0	10051.0
0.05128	1381.0	2520.0
0.07692	816.0	1629.0
0.10256	530.0	1211.0
0.12821	409.0	994.0
0.15385	328.0	834.0
0.17949	250.0	632.0
0.20513	224.0	646.0
0.23077	191.0	552.0
0.25641	175.0	444.0
0.28205	167.0	431.0
0.30769	150.0	368.0
0.33333	118.0	366.0
0.35897	78.0	320.0
0.38462	100.0	317.0
0.41026	92.0	269.0
0.4359	94.0	269.0
0.46154	74.0	280.0
0.48718	72.0	242.0
0.51282	51.0	210.0
0.53846	83.0	232.0
0.5641	61.0	216.0
0.58974	48.0	206.0
0.61538	57.0	168.0
0.64103	52.0	182.0
0.66667	41.0	169.0
0.69231	43.0	167.0
0.71795	42.0	168.0
0.74359	46.0	145.0
0.76923	43.0	157.0
0.79487	33.0	169.0
0.82051	44.0	132.0
0.84615	52.0	133.0
0.87179	37.0	124.0
0.89744	40.0	137.0
0.92308	49.0	129.0
0.94872	32.0	130.0
0.97436	28.0	126.0
1.0	29.0	122.0
