f	pi	p0
0.02564	5149.0	5120.0
0.05128	1858.0	2456.0
0.07692	1076.0	1722.0
0.10256	711.0	1254.0
0.12821	529.0	973.0
0.15385	431.0	828.0
0.17949	306.0	711.0
0.20513	256.0	606.0
0.23077	210.0	540.0
0.25641	227.0	437.0
0.28205	158.0	420.0
0.30769	185.0	385.0
0.33333	147.0	340.0
0.35897	146.0	348.0
0.38462	128.0	319.0
0.41026	105.0	294.0
0.4359	111.0	276.0
0.46154	71.0	236.0
0.48718	89.0	254.0
0.51282	83.0	232.0
0.53846	70.0	235.0
0.5641	79.0	191.0
0.58974	90.0	192.0
0.61538	66.0	203.0
0.64103	57.0	181.0
0.66667	55.0	178.0
0.69231	55.0	148.0
0.71795	48.0	160.0
0.74359	61.0	141.0
0.76923	47.0	157.0
0.79487	51.0	128.0
0.82051	56.0	148.0
0.84615	42.0	128.0
0.87179	51.0	123.0
0.89744	73.0	130.0
0.92308	47.0	137.0
0.94872	47.0	108.0
0.97436	40.0	137.0
1.0	34.0	131.0
