f	pi	p0
0.02564	5077.0	5027.0
0.05128	1881.0	2462.0
0.07692	1053.0	1700.0
0.10256	705.0	1266.0
0.12821	528.0	964.0
0.15385	435.0	759.0
0.17949	314.0	713.0
0.20513	252.0	590.0
0.23077	213.0	572.0
0.25641	248.0	441.0
0.28205	156.0	419.0
0.30769	172.0	340.0
0.33333	155.0	317.0
0.35897	151.0	331.0
0.38462	141.0	318.0
0.41026	102.0	262.0
0.4359	98.0	265.0
0.46154	73.0	208.0
0.48718	91.0	245.0
0.51282	73.0	236.0
0.53846	72.0	201.0
0.5641	79.0	196.0
0.58974	102.0	172.0
0.61538	72.0	186.0
0.64103	56.0	206.0
0.66667	57.0	163.0
0.69231	50.0	155.0
0.71795	36.0	186.0
0.74359	61.0	129.0
0.76923	48.0	125.0
0.79487	50.0	120.0
0.82051	52.0	163.0
0.84615	36.0	145.0
0.87179	76.0	122.0
0.89744	85.0	126.0
0.92308	64.0	130.0
0.94872	41.0	110.0
0.97436	36.0	134.0
1.0	27.0	143.0
