f	pi	p0
0.02564	4324.0	5127.0
0.05128	1494.0	2530.0
0.07692	950.0	1686.0
0.10256	610.0	1238.0
0.12821	434.0	985.0
0.15385	329.0	829.0
0.17949	282.0	702.0
0.20513	221.0	569.0
0.23077	199.0	547.0
0.25641	186.0	503.0
0.28205	162.0	414.0
0.30769	123.0	366.0
0.33333	112.0	385.0
0.35897	121.0	349.0
0.38462	106.0	320.0
0.41026	91.0	320.0
0.4359	94.0	329.0
0.46154	100.0	262.0
0.48718	73.0	277.0
0.51282	88.0	240.0
0.53846	76.0	248.0
0.5641	74.0	229.0
0.58974	71.0	200.0
0.61538	56.0	178.0
0.64103	55.0	185.0
0.66667	41.0	208.0
0.69231	44.0	184.0
0.71795	53.0	177.0
0.74359	39.0	185.0
0.76923	37.0	154.0
0.79487	44.0	143.0
0.82051	38.0	133.0
0.84615	38.0	155.0
0.87179	44.0	137.0
0.89744	36.0	148.0
0.92308	40.0	138.0
0.94872	47.0	145.0
0.97436	48.0	147.0
1.0	36.0	108.0
