f	pi	p0
0.02564	4450.0	5013.0
0.05128	1494.0	2505.0
0.07692	984.0	1751.0
0.10256	592.0	1182.0
0.12821	425.0	1020.0
0.15385	354.0	852.0
0.17949	292.0	667.0
0.20513	224.0	531.0
0.23077	178.0	533.0
0.25641	182.0	528.0
0.28205	150.0	435.0
0.30769	127.0	354.0
0.33333	133.0	402.0
0.35897	126.0	323.0
0.38462	89.0	339.0
0.41026	70.0	323.0
0.4359	97.0	321.0
0.46154	100.0	258.0
0.48718	76.0	243.0
0.51282	89.0	208.0
0.53846	60.0	249.0
0.5641	70.0	217.0
0.58974	83.0	226.0
0.61538	59.0	178.0
0.64103	54.0	179.0
0.66667	39.0	221.0
0.69231	43.0	196.0
0.71795	45.0	169.0
0.74359	40.0	176.0
0.76923	45.0	149.0
0.79487	53.0	136.0
0.82051	41.0	121.0
0.84615	38.0	178.0
0.87179	42.0	126.0
0.89744	29.0	163.0
0.92308	44.0	171.0
0.94872	49.0	176.0
0.97436	51.0	151.0
1.0	26.0	102.0
