f	pi	p0
0.02564	4381.0	5216.0
0.05128	1544.0	2559.0
0.07692	875.0	1634.0
0.10256	539.0	1295.0
0.12821	416.0	993.0
0.15385	405.0	893.0
0.17949	312.0	779.0
0.20513	283.0	648.0
0.23077	258.0	581.0
0.25641	178.0	487.0
0.28205	181.0	447.0
0.30769	164.0	451.0
0.33333	145.0	353.0
0.35897	126.0	381.0
0.38462	80.0	320.0
0.41026	100.0	304.0
0.4359	89.0	268.0
0.46154	77.0	265.0
0.48718	95.0	246.0
0.51282	58.0	231.0
0.53846	71.0	231.0
0.5641	87.0	222.0
0.58974	53.0	199.0
0.61538	59.0	215.0
0.64103	63.0	213.0
0.66667	44.0	188.0
0.69231	68.0	197.0
0.71795	48.0	197.0
0.74359	43.0	187.0
0.76923	54.0	177.0
0.79487	29.0	156.0
0.82051	42.0	148.0
0.84615	41.0	125.0
0.87179	25.0	139.0
0.89744	46.0	178.0
0.92308	40.0	144.0
0.94872	40.0	112.0
0.97436	31.0	117.0
1.0	31.0	114.0
