f	pi	p0
0.02564	4130.0	4956.0
0.05128	1447.0	2481.0
0.07692	839.0	1561.0
0.10256	518.0	1118.0
0.12821	391.0	837.0
0.15385	286.0	727.0
0.17949	249.0	600.0
0.20513	221.0	545.0
0.23077	163.0	426.0
0.25641	163.0	370.0
0.28205	123.0	333.0
0.30769	111.0	306.0
0.33333	86.0	242.0
0.35897	91.0	228.0
0.38462	95.0	272.0
0.41026	80.0	224.0
0.4359	58.0	180.0
0.46154	53.0	190.0
0.48718	60.0	196.0
0.51282	55.0	162.0
0.53846	50.0	162.0
0.5641	55.0	146.0
0.58974	43.0	137.0
0.61538	47.0	127.0
0.64103	39.0	153.0
0.66667	38.0	127.0
0.69231	40.0	127.0
0.71795	39.0	140.0
0.74359	48.0	107.0
0.76923	39.0	94.0
0.79487	32.0	105.0
0.82051	28.0	116.0
0.84615	29.0	104.0
0.87179	38.0	111.0
0.89744	40.0	115.0
0.92308	26.0	108.0
0.94872	34.0	100.0
0.97436	35.0	86.0
1.0	30.0	100.0
