f	pi	p0
0.02564	4312.0	5124.0
0.05128	1483.0	2546.0
0.07692	849.0	1646.0
0.10256	540.0	1195.0
0.12821	456.0	1031.0
0.15385	352.0	767.0
0.17949	285.0	702.0
0.20513	205.0	613.0
0.23077	195.0	522.0
0.25641	145.0	442.0
0.28205	131.0	409.0
0.30769	156.0	374.0
0.33333	112.0	375.0
0.35897	85.0	292.0
0.38462	108.0	261.0
0.41026	88.0	283.0
0.4359	83.0	240.0
0.46154	69.0	249.0
0.48718	62.0	218.0
0.51282	69.0	204.0
0.53846	62.0	194.0
0.5641	54.0	183.0
0.58974	56.0	212.0
0.61538	50.0	203.0
0.64103	50.0	156.0
0.66667	49.0	174.0
0.69231	37.0	163.0
0.71795	34.0	140.0
0.74359	52.0	171.0
0.76923	38.0	147.0
0.79487	42.0	154.0
0.82051	41.0	155.0
0.84615	43.0	123.0
0.87179	40.0	130.0
0.89744	40.0	124.0
0.92308	42.0	133.0
0.94872	47.0	111.0
0.97436	34.0	122.0
1.0	37.0	98.0
