f	pi	p0
0.02564	4361.0	5164.0
0.05128	1486.0	2464.0
0.07692	792.0	1668.0
0.10256	485.0	1180.0
0.12821	481.0	1034.0
0.15385	337.0	770.0
0.17949	282.0	692.0
0.20513	189.0	638.0
0.23077	201.0	496.0
0.25641	125.0	404.0
0.28205	145.0	372.0
0.30769	154.0	382.0
0.33333	108.0	381.0
0.35897	87.0	294.0
0.38462	113.0	265.0
0.41026	89.0	254.0
0.4359	89.0	258.0
0.46154	77.0	252.0
0.48718	69.0	232.0
0.51282	72.0	204.0
0.53846	66.0	189.0
0.5641	51.0	196.0
0.58974	55.0	200.0
0.61538	47.0	170.0
0.64103	40.0	162.0
0.66667	48.0	153.0
0.69231	43.0	163.0
0.71795	28.0	113.0
0.74359	50.0	165.0
0.76923	33.0	135.0
0.79487	34.0	148.0
0.82051	34.0	157.0
0.84615	52.0	129.0
0.87179	36.0	134.0
0.89744	28.0	132.0
0.92308	40.0	158.0
0.94872	55.0	99.0
0.97436	35.0	110.0
1.0	45.0	105.0
