f	pi	p0	pw
0.02564	1260.0	959.0	24.0
0.05128	429.0	514.0	15.0
0.07692	279.0	301.0	13.0
0.10256	182.0	244.0	4.0
0.12821	138.0	179.0	5.0
0.15385	108.0	169.0	3.0
0.17949	95.0	121.0	3.0
0.20513	76.0	148.0	4.0
0.23077	55.0	110.0	6.0
0.25641	41.0	83.0	2.0
0.28205	53.0	80.0	4.0
0.30769	56.0	74.0	3.0
0.33333	51.0	75.0	4.0
0.35897	34.0	68.0	4.0
0.38462	33.0	74.0	0.0
0.41026	23.0	48.0	1.0
0.4359	22.0	43.0	1.0
0.46154	30.0	51.0	2.0
0.48718	28.0	35.0	2.0
0.51282	19.0	34.0	2.0
0.53846	22.0	48.0	2.0
0.5641	23.0	50.0	4.0
0.58974	19.0	43.0	4.0
0.61538	12.0	41.0	0.0
0.64103	21.0	32.0	2.0
0.66667	9.0	31.0	3.0
0.69231	18.0	40.0	1.0
0.71795	9.0	37.0	4.0
0.74359	16.0	21.0	3.0
0.76923	12.0	29.0	0.0
0.79487	20.0	30.0	3.0
0.82051	10.0	26.0	3.0
0.84615	9.0	33.0	1.0
0.87179	10.0	37.0	2.0
0.89744	9.0	27.0	0.0
0.92308	5.0	21.0	0.0
0.94872	18.0	21.0	3.0
0.97436	15.0	27.0	2.0
1.0	9.0	19.0	0.0
