f	pi	p0	pw
0.02564	1235.0	932.0	10.0
0.05128	442.0	502.0	25.0
0.07692	273.0	285.0	14.0
0.10256	188.0	238.0	8.0
0.12821	137.0	167.0	6.0
0.15385	131.0	175.0	4.0
0.17949	80.0	125.0	2.0
0.20513	74.0	165.0	7.0
0.23077	55.0	118.0	5.0
0.25641	35.0	79.0	3.0
0.28205	58.0	75.0	7.0
0.30769	54.0	93.0	5.0
0.33333	60.0	73.0	4.0
0.35897	30.0	57.0	4.0
0.38462	29.0	75.0	0.0
0.41026	20.0	48.0	0.0
0.4359	20.0	44.0	0.0
0.46154	34.0	41.0	2.0
0.48718	23.0	35.0	1.0
0.51282	18.0	32.0	3.0
0.53846	24.0	50.0	2.0
0.5641	23.0	52.0	7.0
0.58974	21.0	35.0	3.0
0.61538	17.0	27.0	0.0
0.64103	21.0	36.0	1.0
0.66667	15.0	40.0	5.0
0.69231	21.0	49.0	1.0
0.71795	10.0	40.0	5.0
0.74359	17.0	24.0	5.0
0.76923	9.0	28.0	0.0
0.79487	21.0	36.0	4.0
0.82051	15.0	25.0	3.0
0.84615	10.0	31.0	0.0
0.87179	7.0	30.0	1.0
0.89744	16.0	27.0	0.0
0.92308	6.0	18.0	0.0
0.94872	28.0	25.0	4.0
0.97436	17.0	41.0	6.0
1.0	11.0	19.0	0.0
