f	pi	p0	pw
0.02564	673.0	399.0	11.0
0.05128	221.0	144.0	5.0
0.07692	126.0	96.0	3.0
0.10256	86.0	83.0	5.0
0.12821	72.0	75.0	4.0
0.15385	41.0	55.0	0.0
0.17949	37.0	36.0	0.0
0.20513	38.0	34.0	1.0
0.23077	19.0	26.0	0.0
0.25641	27.0	31.0	0.0
0.28205	22.0	31.0	1.0
0.30769	16.0	30.0	0.0
0.33333	20.0	23.0	1.0
0.35897	12.0	22.0	1.0
0.38462	23.0	25.0	1.0
0.41026	12.0	24.0	1.0
0.4359	12.0	19.0	0.0
0.46154	10.0	26.0	0.0
0.48718	6.0	13.0	0.0
0.51282	12.0	16.0	0.0
0.53846	8.0	16.0	0.0
0.5641	5.0	16.0	0.0
0.58974	4.0	17.0	0.0
0.61538	7.0	8.0	0.0
0.64103	7.0	16.0	1.0
0.66667	10.0	17.0	2.0
0.69231	8.0	15.0	1.0
0.71795	5.0	12.0	0.0
0.74359	8.0	6.0	0.0
0.76923	7.0	13.0	1.0
0.79487	7.0	4.0	0.0
0.82051	11.0	10.0	1.0
0.84615	9.0	3.0	0.0
0.87179	7.0	11.0	0.0
0.89744	4.0	8.0	0.0
0.92308	6.0	11.0	0.0
0.94872	5.0	9.0	0.0
0.97436	2.0	2.0	0.0
1.0	5.0	9.0	0.0
