f	pi	p0	pw
0.02564	650.0	425.0	8.0
0.05128	225.0	139.0	6.0
0.07692	140.0	92.0	5.0
0.10256	73.0	85.0	6.0
0.12821	73.0	77.0	2.0
0.15385	38.0	57.0	0.0
0.17949	39.0	34.0	0.0
0.20513	28.0	29.0	3.0
0.23077	18.0	29.0	0.0
0.25641	30.0	28.0	0.0
0.28205	23.0	27.0	2.0
0.30769	15.0	20.0	0.0
0.33333	17.0	20.0	0.0
0.35897	19.0	18.0	1.0
0.38462	23.0	30.0	0.0
0.41026	12.0	29.0	0.0
0.4359	10.0	22.0	0.0
0.46154	13.0	26.0	0.0
0.48718	9.0	11.0	0.0
0.51282	10.0	26.0	0.0
0.53846	8.0	16.0	0.0
0.5641	6.0	15.0	0.0
0.58974	5.0	16.0	0.0
0.61538	10.0	12.0	0.0
0.64103	10.0	20.0	1.0
0.66667	5.0	16.0	0.0
0.69231	4.0	23.0	0.0
0.71795	6.0	12.0	0.0
0.74359	6.0	6.0	0.0
0.76923	8.0	11.0	1.0
0.79487	8.0	4.0	0.0
0.82051	9.0	10.0	0.0
0.84615	4.0	3.0	0.0
0.87179	5.0	12.0	0.0
0.89744	1.0	9.0	0.0
0.92308	7.0	9.0	0.0
0.94872	3.0	11.0	0.0
0.97436	2.0	3.0	0.0
1.0	4.0	18.0	0.0
