f	pi	p0
0.02564	8588.0	10043.0
0.05128	2963.0	5035.0
0.07692	1753.0	3182.0
0.10256	1206.0	2367.0
0.12821	831.0	1886.0
0.15385	665.0	1598.0
0.17949	500.0	1261.0
0.20513	401.0	1183.0
0.23077	336.0	971.0
0.25641	329.0	912.0
0.28205	291.0	834.0
0.30769	259.0	739.0
0.33333	255.0	676.0
0.35897	185.0	604.0
0.38462	178.0	538.0
0.41026	180.0	531.0
0.4359	156.0	490.0
0.46154	136.0	443.0
0.48718	150.0	440.0
0.51282	123.0	406.0
0.53846	127.0	430.0
0.5641	86.0	350.0
0.58974	120.0	370.0
0.61538	93.0	355.0
0.64103	92.0	310.0
0.66667	94.0	341.0
0.69231	92.0	337.0
0.71795	92.0	304.0
0.74359	84.0	282.0
0.76923	84.0	286.0
0.79487	80.0	264.0
0.82051	71.0	273.0
0.84615	69.0	280.0
0.87179	70.0	255.0
0.89744	76.0	235.0
0.92308	76.0	232.0
0.94872	92.0	267.0
0.97436	50.0	225.0
1.0	62.0	252.0
