f	pi	p0
0.02564	8423.0	10020.0
0.05128	2975.0	4993.0
0.07692	1774.0	3295.0
0.10256	1237.0	2393.0
0.12821	833.0	1849.0
0.15385	674.0	1611.0
0.17949	488.0	1264.0
0.20513	415.0	1234.0
0.23077	337.0	920.0
0.25641	315.0	952.0
0.28205	291.0	825.0
0.30769	256.0	683.0
0.33333	251.0	711.0
0.35897	185.0	595.0
0.38462	170.0	524.0
0.41026	211.0	551.0
0.4359	162.0	490.0
0.46154	143.0	461.0
0.48718	173.0	458.0
0.51282	136.0	395.0
0.53846	136.0	441.0
0.5641	89.0	328.0
0.58974	89.0	373.0
0.61538	97.0	339.0
0.64103	92.0	352.0
0.66667	94.0	357.0
0.69231	93.0	350.0
0.71795	101.0	295.0
0.74359	87.0	292.0
0.76923	75.0	276.0
0.79487	87.0	257.0
0.82051	85.0	290.0
0.84615	67.0	318.0
0.87179	86.0	238.0
0.89744	92.0	241.0
0.92308	72.0	235.0
0.94872	94.0	263.0
0.97436	63.0	228.0
1.0	61.0	253.0
