f	pi	p0
0.02564	4318.0	5190.0
0.05128	1565.0	2580.0
0.07692	929.0	1753.0
0.10256	617.0	1374.0
0.12821	462.0	1120.0
0.15385	387.0	845.0
0.17949	288.0	703.0
0.20513	246.0	643.0
0.23077	203.0	598.0
0.25641	158.0	506.0
0.28205	162.0	471.0
0.30769	141.0	402.0
0.33333	127.0	372.0
0.35897	125.0	362.0
0.38462	106.0	357.0
0.41026	103.0	344.0
0.4359	98.0	297.0
0.46154	72.0	275.0
0.48718	71.0	247.0
0.51282	85.0	253.0
0.53846	81.0	254.0
0.5641	64.0	225.0
0.58974	73.0	217.0
0.61538	55.0	207.0
0.64103	55.0	209.0
0.66667	57.0	195.0
0.69231	55.0	186.0
0.71795	51.0	175.0
0.74359	48.0	167.0
0.76923	47.0	162.0
0.79487	40.0	184.0
0.82051	37.0	154.0
0.84615	31.0	154.0
0.87179	38.0	127.0
0.89744	46.0	129.0
0.92308	31.0	132.0
0.94872	36.0	126.0
0.97436	42.0	109.0
1.0	40.0	125.0
