f	pi	p0
0.02564	4348.0	5232.0
0.05128	1551.0	2589.0
0.07692	953.0	1762.0
0.10256	606.0	1366.0
0.12821	478.0	1122.0
0.15385	348.0	854.0
0.17949	316.0	714.0
0.20513	246.0	645.0
0.23077	202.0	599.0
0.25641	143.0	501.0
0.28205	160.0	486.0
0.30769	147.0	431.0
0.33333	126.0	410.0
0.35897	124.0	351.0
0.38462	100.0	369.0
0.41026	95.0	333.0
0.4359	85.0	268.0
0.46154	84.0	261.0
0.48718	61.0	223.0
0.51282	87.0	226.0
0.53846	94.0	245.0
0.5641	72.0	209.0
0.58974	78.0	207.0
0.61538	51.0	217.0
0.64103	56.0	212.0
0.66667	51.0	212.0
0.69231	59.0	187.0
0.71795	70.0	170.0
0.74359	49.0	158.0
0.76923	53.0	163.0
0.79487	30.0	188.0
0.82051	33.0	130.0
0.84615	42.0	144.0
0.87179	36.0	121.0
0.89744	47.0	144.0
0.92308	36.0	130.0
0.94872	36.0	127.0
0.97436	26.0	110.0
1.0	30.0	124.0
