f	pi	p0
0.02564	9012.0	5138.0
0.05128	3874.0	2524.0
0.07692	2486.0	1763.0
0.10256	1767.0	1216.0
0.12821	1378.0	925.0
0.15385	1171.0	807.0
0.17949	1011.0	660.0
0.20513	759.0	599.0
0.23077	719.0	504.0
0.25641	648.0	414.0
0.28205	562.0	436.0
0.30769	513.0	363.0
0.33333	500.0	369.0
0.35897	413.0	352.0
0.38462	431.0	278.0
0.41026	337.0	265.0
0.4359	377.0	254.0
0.46154	297.0	238.0
0.48718	258.0	213.0
0.51282	275.0	226.0
0.53846	268.0	202.0
0.5641	234.0	191.0
0.58974	264.0	192.0
0.61538	206.0	212.0
0.64103	200.0	169.0
0.66667	215.0	185.0
0.69231	203.0	176.0
0.71795	209.0	168.0
0.74359	189.0	135.0
0.76923	160.0	140.0
0.79487	168.0	164.0
0.82051	175.0	163.0
0.84615	184.0	130.0
0.87179	165.0	115.0
0.89744	155.0	122.0
0.92308	175.0	136.0
0.94872	173.0	116.0
0.97436	156.0	127.0
1.0	137.0	110.0
