f	pi	p0
0.02564	9060.0	5217.0
0.05128	3826.0	2586.0
0.07692	2493.0	1736.0
0.10256	1834.0	1183.0
0.12821	1450.0	907.0
0.15385	1165.0	780.0
0.17949	962.0	653.0
0.20513	750.0	568.0
0.23077	691.0	479.0
0.25641	693.0	402.0
0.28205	595.0	443.0
0.30769	501.0	414.0
0.33333	538.0	392.0
0.35897	394.0	358.0
0.38462	451.0	319.0
0.41026	309.0	312.0
0.4359	342.0	268.0
0.46154	319.0	214.0
0.48718	255.0	220.0
0.51282	254.0	203.0
0.53846	314.0	212.0
0.5641	229.0	207.0
0.58974	276.0	185.0
0.61538	226.0	190.0
0.64103	211.0	178.0
0.66667	219.0	173.0
0.69231	221.0	174.0
0.71795	212.0	163.0
0.74359	188.0	140.0
0.76923	172.0	146.0
0.79487	169.0	148.0
0.82051	179.0	155.0
0.84615	200.0	111.0
0.87179	166.0	98.0
0.89744	126.0	114.0
0.92308	185.0	139.0
0.94872	151.0	125.0
0.97436	163.0	119.0
1.0	117.0	123.0
