f	pi	p0
0.02564	38453.0	42649.0
0.05128	12053.0	18710.0
0.07692	6497.0	11234.0
0.10256	4070.0	7709.0
0.12821	2902.0	5810.0
0.15385	2126.0	4547.0
0.17949	1624.0	3738.0
0.20513	1363.0	3161.0
0.23077	1112.0	2658.0
0.25641	919.0	2197.0
0.28205	806.0	1992.0
0.30769	680.0	1790.0
0.33333	583.0	1557.0
0.35897	621.0	1498.0
0.38462	545.0	1287.0
0.41026	452.0	1218.0
0.4359	401.0	1121.0
0.46154	399.0	1007.0
0.48718	329.0	1014.0
0.51282	319.0	927.0
0.53846	285.0	859.0
0.5641	273.0	826.0
0.58974	267.0	789.0
0.61538	246.0	750.0
0.64103	244.0	720.0
0.66667	242.0	708.0
0.69231	260.0	696.0
0.71795	216.0	669.0
0.74359	203.0	604.0
0.76923	218.0	593.0
0.79487	240.0	635.0
0.82051	211.0	657.0
0.84615	222.0	637.0
0.87179	189.0	601.0
0.89744	249.0	659.0
0.92308	223.0	607.0
0.94872	269.0	718.0
0.97436	241.0	678.0
1.0	286.0	788.0
