f	pi	p0
0.02564	38853.0	42871.0
0.05128	11832.0	18563.0
0.07692	6486.0	11331.0
0.10256	4093.0	7788.0
0.12821	2916.0	5941.0
0.15385	2130.0	4497.0
0.17949	1647.0	3842.0
0.20513	1359.0	3155.0
0.23077	1192.0	2794.0
0.25641	928.0	2244.0
0.28205	809.0	1996.0
0.30769	697.0	1742.0
0.33333	634.0	1591.0
0.35897	598.0	1535.0
0.38462	535.0	1264.0
0.41026	464.0	1245.0
0.4359	401.0	1104.0
0.46154	415.0	1052.0
0.48718	345.0	1050.0
0.51282	335.0	917.0
0.53846	281.0	868.0
0.5641	296.0	890.0
0.58974	295.0	799.0
0.61538	229.0	767.0
0.64103	262.0	699.0
0.66667	249.0	692.0
0.69231	271.0	681.0
0.71795	201.0	607.0
0.74359	172.0	604.0
0.76923	209.0	596.0
0.79487	263.0	707.0
0.82051	189.0	609.0
0.84615	240.0	658.0
0.87179	179.0	571.0
0.89744	263.0	647.0
0.92308	247.0	600.0
0.94872	300.0	812.0
0.97436	237.0	633.0
1.0	306.0	855.0
