test	type	N	mean	sd	pop
aMKT	allGenes	1984	0.980824373969298	2.83559835244018	CEU
aMKT	positive	0			CEU
aMKT	negative	2	-7.96417197452229	0.0506684795436227	CEU
aMKT	allGenes	3721	1.02232931509131	8.08560753081565	RAL
aMKT	positive	222	0.94166058481044	0.101023645966135	RAL
aMKT	negative	11	-4.22019988405436	3.64262110963138	RAL
aMKT	allGenes	2399	1.08964654349728	3.67704216112625	YRI
aMKT	positive	6	0.893939393939394	0.259794366658822	YRI
aMKT	negative	0			YRI
aMKT	allGenes	4611	1.19998795362476	9.24218772802225	ZI
aMKT	positive	342	0.928042677480963	0.115372440138362	ZI
aMKT	negative	6	-2.71298930600707	1.11109715523823	ZI
caMKT	allGenes	0			CEU
caMKT	positive	0			CEU
caMKT	negative	0			CEU
caMKT	allGenes	26	0.663015384615385	0.443851043204639	RAL
caMKT	positive	5	0.7613	0.210552024450016	RAL
caMKT	negative	0			RAL
caMKT	allGenes	0			YRI
caMKT	positive	0			YRI
caMKT	negative	0			YRI
caMKT	allGenes	39	0.79218717948718	0.442926229558952	ZI
caMKT	positive	11	0.899490909090909	0.101700800926497	ZI
caMKT	negative	0			ZI
eMKT	allGenes	3992	-0.461243230126883	1.71249071984268	CEU
eMKT	positive	40	0.868635782626943	0.0718536592639223	CEU
eMKT	negative	41	-6.37033107516823	5.47787657347971	CEU
eMKT	allGenes	3530	-0.413974108432626	1.65335433332314	CEU
eMKT	positive	36	0.868803316678755	0.0776217167812586	CEU
eMKT	negative	41	-6.18509195702461	5.32188449107123	CEU
eMKT	allGenes	9172	-0.535737870124836	2.49643289930878	RAL
eMKT	positive	1024	0.795175588784986	0.1229341030138	RAL
eMKT	negative	492	-6.22064523486142	7.29467471863546	RAL
eMKT	allGenes	9024	-0.51144249225405	2.30747773501901	RAL
eMKT	positive	1000	0.793257791369702	0.123157446171146	RAL
eMKT	negative	496	-5.91462421988896	6.41849798851139	RAL
eMKT	allGenes	5710	-0.452775537334595	1.66757126934762	YRI
eMKT	positive	54	0.870073540005169	0.100938996303471	YRI
eMKT	negative	66	-6.60789715095559	5.7910731924396	YRI
eMKT	allGenes	4679	-0.371206936385566	1.50772814456987	YRI
eMKT	positive	52	0.86052545813013	0.106419171196392	YRI
eMKT	negative	55	-5.7917477674884	5.06289757553835	YRI
eMKT	allGenes	11209	-0.368236760492099	1.83193061830195	ZI
eMKT	positive	1755	0.779722539193628	0.13011772144135	ZI
eMKT	negative	677	-4.66524248337838	4.29832038331593	ZI
eMKT	allGenes	10947	-0.399936883784718	1.85594479275374	ZI
eMKT	positive	1681	0.774850349033533	0.132590593753324	ZI
eMKT	negative	706	-4.51040522265063	4.32461255626849	ZI
FWW	allGenes	3283	-0.514384345926657	1.82189613062924	CEU
FWW	positive	12	0.88719690836027	0.042090515498461	CEU
FWW	negative	5	-12.5377777777778	5.87569591360341	CEU
FWW	allGenes	2677	-0.416325775599813	1.63456724960759	CEU
FWW	positive	10	0.888907995475352	0.0368550990548721	CEU
FWW	negative	2	-9.4	2.26274169979695	CEU
FWW	allGenes	8084	-0.39235193274993	2.71527086703701	RAL
FWW	positive	845	0.821574632614066	0.109929168467882	RAL
FWW	negative	155	-9.78356686938886	13.2170115024171	RAL
FWW	allGenes	7379	-0.30186964781186	2.6426348009218	RAL
FWW	positive	751	0.832275747035195	0.104246409882439	RAL
FWW	negative	82	-11.3899530356063	17.2231693553255	RAL
FWW	allGenes	4613	-0.517795668642764	1.80472137065975	YRI
FWW	positive	19	0.876445740071379	0.108787921683869	YRI
FWW	negative	13	-11.2858312793217	7.3741070437931	YRI
FWW	allGenes	3247	-0.38249836683135	1.57311941047599	YRI
FWW	positive	12	0.919764498189743	0.0561377089187789	YRI
FWW	negative	6	-7.48611111111111	3.0416217652698	YRI
FWW	allGenes	9758	-0.0709452528795611	1.69980294775593	ZI
FWW	positive	1648	0.827997958159246	0.109637125302768	ZI
FWW	negative	113	-7.39552896768394	6.58590392572202	ZI
FWW	allGenes	8835	-0.00411430091459345	1.55886547106426	ZI
FWW	positive	1415	0.839443935765482	0.103666046740789	ZI
FWW	negative	57	-8.26340354501422	7.34281167297396	ZI
standardMKT	allGenes	7259	-1.33166716049684	3.24285352136452	CEU
standardMKT	positive	26	0.876091026082978	0.0918926228781515	CEU
standardMKT	negative	141	-12.7853726995867	11.6476203284218	CEU
standardMKT	allGenes	10186	-1.22709968109841	3.46077227378233	RAL
standardMKT	positive	718	0.773921818904108	0.124880454550876	RAL
standardMKT	negative	1069	-6.76873355502145	7.56165197969785	RAL
standardMKT	allGenes	9284	-1.21395829903594	2.900052446264	YRI
standardMKT	positive	50	0.872538474124244	0.0870647920632899	YRI
standardMKT	negative	189	-10.8235030598576	8.99536797818685	YRI
standardMKT	allGenes	11812	-0.86125014297192	2.75260817715767	ZI
standardMKT	positive	1422	0.764808937478445	0.133425491199678	ZI
standardMKT	negative	1281	-5.21180732864457	5.80056744536709	ZI
