test	type	N	mean	sd	pop
aMKT	allGenes	1984	0.980824373969298	2.83559835244018	CEU
aMKT	positive	0			CEU
aMKT	negative	2	-7.96417197452229	0.0506684795436227	CEU
aMKT	analyzable	18	0.443544444444444	0.376024530210811	RAL
aMKT	positive	0			RAL
aMKT	negative	0			RAL
aMKT	allGenes	2399	1.08964654349728	3.67704216112625	YRI
aMKT	positive	6	0.893939393939394	0.259794366658822	YRI
aMKT	negative	0			YRI
aMKT	analyzable	29	0.656055172413793	0.508782770503853	ZI
aMKT	positive	0			ZI
aMKT	negative	0			ZI
caMKT	allGenes	0			CEU
caMKT	positive	0			CEU
caMKT	negative	0			CEU
caMKT	analyzable	21	0.635880952380953	0.247863475766495	RAL
caMKT	positive	3	0.587333333333333	0.267663227458187	RAL
caMKT	negative	0			RAL
caMKT	allGenes	0			YRI
caMKT	positive	0			YRI
caMKT	negative	0			YRI
caMKT	analyzable	36	0.703694444444444	0.246906728421245	ZI
caMKT	positive	4	0.83185	0.211232975645376	ZI
caMKT	negative	0			ZI
eMKT	analyzable	3283	-0.514384345926657	1.82189613062924	CEU
eMKT	positive	38	0.850983344627735	0.0889938608323574	CEU
eMKT	negative	66	-6.09945985799732	3.98737416673055	CEU
eMKT	analyzable	2677	-0.416325775599813	1.63456724960759	CEU
eMKT	positive	38	0.850999883059487	0.0815539072631846	CEU
eMKT	negative	50	-5.57782909598252	2.94685452049888	CEU
eMKT	analyzable	8458	-0.290153528589058	1.93065856341008	RAL
eMKT	positive	1237	0.793443712147918	0.118409479433884	RAL
eMKT	negative	330	-5.94408581559665	5.31519030407019	RAL
eMKT	analyzable	7819	-0.231684612813869	1.84375656326242	RAL
eMKT	positive	1243	0.794608951424818	0.11593801929942	RAL
eMKT	negative	305	-5.85747003100746	5.02180214715235	RAL
eMKT	analyzable	4613	-0.517795668642764	1.80472137065975	YRI
eMKT	positive	69	0.855225398229294	0.0807548368532251	YRI
eMKT	negative	99	-6.29949792182924	4.95855605056832	YRI
eMKT	analyzable	3247	-0.38249836683135	1.57311941047599	YRI
eMKT	positive	50	0.822917443272292	0.110171882598195	YRI
eMKT	negative	71	-5.38826852910319	4.16863536962066	YRI
eMKT	analyzable	10175	-0.0509174250093591	1.55791005477314	ZI
eMKT	positive	2464	0.786738581107542	0.122069181354453	ZI
eMKT	negative	375	-4.93022968002508	4.42440964399589	ZI
eMKT	analyzable	9346	-0.0167727427519968	1.53912962877938	ZI
eMKT	positive	2439	0.784960335366139	0.122036456895544	ZI
eMKT	negative	331	-4.88254715577685	4.57081007119676	ZI
FWW	allGenes	3283	-0.514384345926657	1.82189613062924	CEU
FWW	positive	12	0.88719690836027	0.042090515498461	CEU
FWW	negative	5	-12.5377777777778	5.87569591360341	CEU
FWW	allGenes	2677	-0.416325775599813	1.63456724960759	CEU
FWW	positive	10	0.888907995475352	0.0368550990548721	CEU
FWW	negative	2	-9.4	2.26274169979695	CEU
FWW	allGenes	4613	-0.517795668642764	1.80472137065975	YRI
FWW	positive	19	0.876445740071379	0.108787921683869	YRI
FWW	negative	13	-11.2858312793217	7.3741070437931	YRI
FWW	allGenes	3247	-0.38249836683135	1.57311941047599	YRI
FWW	positive	12	0.919764498189743	0.0561377089187789	YRI
FWW	negative	6	-7.48611111111111	3.0416217652698	YRI
FWW	analyzable	10175	-0.0509174250093591	1.55791005477314	ZI
FWW	positive	1644	0.819140714506893	0.109489087129271	ZI
FWW	negative	98	-6.83067317693868	5.92241783126408	ZI
FWW	analyzable	9346	-0.0167727427519968	1.53912962877938	ZI
FWW	positive	1399	0.827977974853674	0.104286551169891	ZI
FWW	negative	62	-7.65978044764174	7.10845715398038	ZI
standardMKT	allGenes	7259	-1.33166716049684	3.24285352136452	CEU
standardMKT	positive	26	0.876091026082978	0.0918926228781515	CEU
standardMKT	negative	141	-12.7853726995867	11.6476203284218	CEU
standardMKT	analyzable	10368	-1.00765258794648	2.90844455613147	RAL
standardMKT	positive	736	0.765436069548956	0.129084043616724	RAL
standardMKT	negative	938	-6.12749148603875	6.44021562449552	RAL
standardMKT	allGenes	9284	-1.21395829903594	2.900052446264	YRI
standardMKT	positive	50	0.872538474124244	0.0870647920632899	YRI
standardMKT	negative	189	-10.8235030598576	8.99536797818685	YRI
standardMKT	analyzable	12039	-0.699249384002718	2.71366355299528	ZI
standardMKT	positive	1489	0.7600157808043	0.134312065394369	ZI
standardMKT	negative	1108	-4.87074476260326	6.72059715301098	ZI
