test	type	N	mean	sd	pop
aMKT	allGenes	1984	0.980824373969298	2.83559835244018	CEU
aMKT	positive	0			CEU
aMKT	negative	2	-7.96417197452229	0.0506684795436227	CEU
aMKT	allGenes	3721	1.02232931509131	8.08560753081565	RAL
aMKT	positive	222	0.94166058481044	0.101023645966135	RAL
aMKT	negative	11	-4.22019988405436	3.64262110963138	RAL
aMKT	allGenes	2399	1.08964654349728	3.67704216112625	YRI
aMKT	positive	6	0.893939393939394	0.259794366658822	YRI
aMKT	negative	0			YRI
aMKT	allGenes	4611	1.19998795362476	9.24218772802225	ZI
aMKT	positive	342	0.928042677480963	0.115372440138362	ZI
aMKT	negative	6	-2.71298930600707	1.11109715523823	ZI
caMKT	allGenes	0			CEU
caMKT	positive	0			CEU
caMKT	negative	0			CEU
caMKT	allGenes	26	0.663015384615385	0.443851043204639	RAL
caMKT	positive	5	0.7613	0.210552024450016	RAL
caMKT	negative	0			RAL
caMKT	allGenes	0			YRI
caMKT	positive	0			YRI
caMKT	negative	0			YRI
caMKT	allGenes	39	0.79218717948718	0.442926229558952	ZI
caMKT	positive	11	0.899490909090909	0.101700800926497	ZI
caMKT	negative	0			ZI
eMKT	analyzable	3283	-0.514384345926657	1.82189613062924	CEU
eMKT	positive	38	0.850983344627735	0.0889938608323574	CEU
eMKT	negative	66	-6.09945985799732	3.98737416673055	CEU
eMKT	analyzable	2677	-0.416325775599813	1.63456724960759	CEU
eMKT	positive	38	0.850999883059487	0.0815539072631846	CEU
eMKT	negative	50	-5.57782909598252	2.94685452049888	CEU
eMKT	analyzable	8084	-0.39235193274993	2.71527086703701	RAL
eMKT	positive	1189	0.801100135691035	0.115115599631103	RAL
eMKT	negative	361	-6.93707546910007	9.40646592792785	RAL
eMKT	analyzable	7379	-0.30186964781186	2.6426348009218	RAL
eMKT	positive	1165	0.804886490708724	0.113017565127398	RAL
eMKT	negative	311	-6.57163102176151	9.72992338034461	RAL
eMKT	analyzable	4613	-0.517795668642764	1.80472137065975	YRI
eMKT	positive	69	0.855225398229294	0.0807548368532251	YRI
eMKT	negative	99	-6.29949792182924	4.95855605056832	YRI
eMKT	analyzable	3247	-0.38249836683135	1.57311941047599	YRI
eMKT	positive	50	0.822917443272292	0.110171882598195	YRI
eMKT	negative	71	-5.38826852910319	4.16863536962066	YRI
eMKT	analyzable	9758	-0.0709452528795611	1.69980294775593	ZI
eMKT	positive	2435	0.796505763153193	0.12200080086704	ZI
eMKT	negative	366	-5.25988898683327	5.10275274969696	ZI
eMKT	analyzable	8835	-0.00411430091459346	1.55886547106426	ZI
eMKT	positive	2387	0.794332443986227	0.121198440756928	ZI
eMKT	negative	319	-5.0264819732781	4.57656207759666	ZI
FWW	allGenes	3283	-0.514384345926657	1.82189613062924	CEU
FWW	positive	12	0.88719690836027	0.042090515498461	CEU
FWW	negative	5	-12.5377777777778	5.87569591360341	CEU
FWW	allGenes	2677	-0.416325775599813	1.63456724960759	CEU
FWW	positive	10	0.888907995475352	0.0368550990548721	CEU
FWW	negative	2	-9.4	2.26274169979695	CEU
FWW	allGenes	8084	-0.39235193274993	2.71527086703701	RAL
FWW	positive	845	0.821574632614066	0.109929168467882	RAL
FWW	negative	155	-9.78356686938886	13.2170115024171	RAL
FWW	allGenes	7379	-0.30186964781186	2.6426348009218	RAL
FWW	positive	751	0.832275747035195	0.104246409882439	RAL
FWW	negative	82	-11.3899530356063	17.2231693553255	RAL
FWW	allGenes	4613	-0.517795668642764	1.80472137065975	YRI
FWW	positive	19	0.876445740071379	0.108787921683869	YRI
FWW	negative	13	-11.2858312793217	7.3741070437931	YRI
FWW	allGenes	3247	-0.38249836683135	1.57311941047599	YRI
FWW	positive	12	0.919764498189743	0.0561377089187789	YRI
FWW	negative	6	-7.48611111111111	3.0416217652698	YRI
FWW	allGenes	9758	-0.0709452528795611	1.69980294775593	ZI
FWW	positive	1648	0.827997958159246	0.109637125302768	ZI
FWW	negative	113	-7.39552896768394	6.58590392572202	ZI
FWW	allGenes	8835	-0.00411430091459345	1.55886547106426	ZI
FWW	positive	1415	0.839443935765482	0.103666046740789	ZI
FWW	negative	57	-8.26340354501422	7.34281167297396	ZI
standardMKT	allGenes	7259	-1.33166716049684	3.24285352136452	CEU
standardMKT	positive	26	0.876091026082978	0.0918926228781515	CEU
standardMKT	negative	141	-12.7853726995867	11.6476203284218	CEU
standardMKT	analyzable	7	-4.10196700419248	7.60703193416314	RAL
standardMKT	positive	1	0.553956834532374		RAL
standardMKT	negative	1	-19.5714285714286		RAL
standardMKT	allGenes	9284	-1.21395829903594	2.900052446264	YRI
standardMKT	positive	50	0.872538474124244	0.0870647920632899	YRI
standardMKT	negative	189	-10.8235030598576	8.99536797818685	YRI
standardMKT	allGenes	11812	-0.86125014297192	2.75260817715767	ZI
standardMKT	positive	1422	0.764808937478445	0.133425491199678	ZI
standardMKT	negative	1281	-5.21180732864457	5.80056744536709	ZI
