test	analysis	variable	value
imp1	rho_0.01	d	0.8317739723669052
imp2	rho_0.01	d	0.8317739771625396
slim	rho_0.01	d	0.8317739779693045
imp1	rho_0.01	d	0.82633002113751
imp2	rho_0.01	d	0.8263300146847408
slim	rho_0.01	d	0.8263300215720233
imp1	rho_0.01	d	0.825831820958266
imp2	rho_0.01	d	0.8258318308390435
slim	rho_0.01	d	0.8258318237416198
imp1	rho_0.01	d	0.8279477315445644
imp2	rho_0.01	d	0.8279477281954369
slim	rho_0.01	d	0.827947730191102
imp1	rho_0.01	d	0.8278761627922886
imp2	rho_0.01	d	0.8278761531785496
slim	rho_0.01	d	0.8278761606099736
imp1	rho_0.01	d	0.8292193288133739
imp2	rho_0.01	d	0.829219329945785
slim	rho_0.01	d	0.8292193274627002
imp1	rho_0.01	d	0.8279387289272525
imp2	rho_0.01	d	0.8279387165029756
slim	rho_0.01	d	0.8279387233521571
imp1	rho_0.01	d	0.8302857613887791
imp2	rho_0.01	d	0.830285769434808
slim	rho_0.01	d	0.8302857667922448
imp1	rho_0.01	d	0.8297735814832268
imp2	rho_0.01	d	0.8297735831189454
slim	rho_0.01	d	0.8297735814465121
imp1	rho_0.01	d	0.8238256108529809
imp2	rho_0.01	d	0.8238256136605957
slim	rho_0.01	d	0.8238256083067492
imp1	rho_0.01	d	0.8253272330202897
imp2	rho_0.01	d	0.8253272302494968
slim	rho_0.01	d	0.8253272364430617
imp1	rho_0.01	d	0.8286425016109589
imp2	rho_0.01	d	0.828642498960855
slim	rho_0.01	d	0.828642498502925
imp1	rho_0.01	d	0.8286390288717708
imp2	rho_0.01	d	0.8286390302200274
slim	rho_0.01	d	0.8286390317149748
imp1	rho_0.01	d	0.8277293413838477
imp2	rho_0.01	d	0.8277293501487414
slim	rho_0.01	d	0.8277293482772935
imp1	rho_0.01	d	0.8287505390680487
imp2	rho_0.01	d	0.8287505428380568
slim	rho_0.01	d	0.828750536447796
imp1	rho_0.01	d	0.8297840095567234
imp2	rho_0.01	d	0.829784012385935
slim	rho_0.01	d	0.8297840136826651
imp1	rho_0.01	d	0.8286532190634721
imp2	rho_0.01	d	0.8286532154486789
slim	rho_0.01	d	0.8286532170119957
imp1	rho_0.01	d	0.8253705969708942
imp2	rho_0.01	d	0.8253706065085374
slim	rho_0.01	d	0.825370599843958
imp1	rho_0.01	d	0.8266672885706708
imp2	rho_0.01	d	0.8266672802293017
slim	rho_0.01	d	0.8266672831799757
imp1	rho_0.01	d	0.8273899955423456
imp2	rho_0.01	d	0.8273899864964582
slim	rho_0.01	d	0.8273899906440283
imp1	rho_0.01	d	0.8249346328620443
imp2	rho_0.01	d	0.8249346198745715
slim	rho_0.01	d	0.8249346254422396
imp1	rho_0.01	d	0.8259894776587532
imp2	rho_0.01	d	0.8259894824271946
slim	rho_0.01	d	0.8259894760924273
imp1	rho_0.01	d	0.8243071072071888
imp2	rho_0.01	d	0.8243071089080828
slim	rho_0.01	d	0.8243071091225453
imp1	rho_0.01	d	0.8283233476160632
imp2	rho_0.01	d	0.8283233504311673
slim	rho_0.01	d	0.828323344090979
imp1	rho_0.01	d	0.8271135116480445
imp2	rho_0.01	d	0.827113508453483
slim	rho_0.01	d	0.8271135154960572
imp1	rho_0.01	d	0.8278539417135302
imp2	rho_0.01	d	0.8278539486687897
slim	rho_0.01	d	0.8278539440903603
imp1	rho_0.01	d	0.8320820398484805
imp2	rho_0.01	d	0.8320820320424525
slim	rho_0.01	d	0.8320820362570958
imp1	rho_0.01	d	0.8301972989295736
imp2	rho_0.01	d	0.8301972903241254
slim	rho_0.01	d	0.8301972963098283
imp1	rho_0.01	d	0.8251699747390354
imp2	rho_0.01	d	0.8251699719281818
slim	rho_0.01	d	0.825169973636742
imp1	rho_0.01	d	0.8284370354936241
imp2	rho_0.01	d	0.8284370432772152
slim	rho_0.01	d	0.8284370421775002
imp1	rho_0.01	d	0.8295444149517017
imp2	rho_0.01	d	0.8295444232226363
slim	rho_0.01	d	0.8295444170546882
imp1	rho_0.01	d	0.8281316721647584
imp2	rho_0.01	d	0.8281316741699953
slim	rho_0.01	d	0.8281316736835682
imp1	rho_0.01	d	0.8268636963603517
imp2	rho_0.01	d	0.8268636868007815
slim	rho_0.01	d	0.8268636897041566
imp1	rho_0.01	d	0.8260182052363279
imp2	rho_0.01	d	0.826018212205002
slim	rho_0.01	d	0.8260182072184099
imp1	rho_0.01	d	0.8302259427728463
imp2	rho_0.01	d	0.8302259513082285
slim	rho_0.01	d	0.8302259500691374
imp1	rho_0.01	d	0.8294982220105479
imp2	rho_0.01	d	0.8294982326576528
slim	rho_0.01	d	0.8294982276005378
imp1	rho_0.01	d	0.8279689242349128
imp2	rho_0.01	d	0.8279689310393086
slim	rho_0.01	d	0.827968923418424
imp1	rho_0.01	d	0.8316188758065799
imp2	rho_0.01	d	0.831618871070045
slim	rho_0.01	d	0.8316188742224245
imp1	rho_0.01	d	0.8282707823653171
imp2	rho_0.01	d	0.8282707766874879
slim	rho_0.01	d	0.8282707778899392
imp1	rho_0.01	d	0.8310650885972026
imp2	rho_0.01	d	0.8310650816195513
slim	rho_0.01	d	0.8310650842383418
imp1	rho_0.01	d	0.8277588406934243
imp2	rho_0.01	d	0.8277588420224681
slim	rho_0.01	d	0.8277588378021439
imp1	rho_0.01	d	0.8262777232189908
imp2	rho_0.01	d	0.8262777317063277
slim	rho_0.01	d	0.8262777293644605
imp1	rho_0.01	d	0.8300013644998634
imp2	rho_0.01	d	0.8300013591681357
slim	rho_0.01	d	0.8300013599891201
imp1	rho_0.01	d	0.8295503303847886
imp2	rho_0.01	d	0.829550322004371
slim	rho_0.01	d	0.8295503277583778
imp1	rho_0.01	d	0.8270466089240636
imp2	rho_0.01	d	0.8270466171399038
slim	rho_0.01	d	0.8270466100404907
imp1	rho_0.01	d	0.8274050284493015
imp2	rho_0.01	d	0.8274050308242895
slim	rho_0.01	d	0.8274050245098039
imp1	rho_0.01	d	0.8286199681478615
imp2	rho_0.01	d	0.8286199546163757
slim	rho_0.01	d	0.8286199614360481
imp1	rho_0.01	d	0.8297278216844686
imp2	rho_0.01	d	0.8297278189723205
slim	rho_0.01	d	0.8297278222713186
imp1	rho_0.01	d	0.8275458153362424
imp2	rho_0.01	d	0.82754581563965
slim	rho_0.01	d	0.8275458146452737
imp1	rho_0.01	d	0.8317546090200005
imp2	rho_0.01	d	0.8317546006802153
slim	rho_0.01	d	0.8317546027242637
imp1	rho_0.01	d	0.8306575814313966
imp2	rho_0.01	d	0.830657580838309
slim	rho_0.01	d	0.8306575797770968
imp1	rho_0.01	d	0.8315548365650001
imp2	rho_0.01	d	0.8315548355114761
slim	rho_0.01	d	0.8315548320974258
imp1	rho_0.01	d	0.8261697048332071
imp2	rho_0.01	d	0.8261697092146477
slim	rho_0.01	d	0.8261697041672377
imp1	rho_0.01	d	0.8309132469106829
imp2	rho_0.01	d	0.8309132454270279
slim	rho_0.01	d	0.8309132420091324
imp1	rho_0.01	d	0.828638279006298
imp2	rho_0.01	d	0.8286382873239629
slim	rho_0.01	d	0.8286382822536246
imp1	rho_0.01	d	0.8275307879088373
imp2	rho_0.01	d	0.8275307955579201
slim	rho_0.01	d	0.8275307897949408
imp1	rho_0.01	d	0.8305374003066678
imp2	rho_0.01	d	0.8305373962723195
slim	rho_0.01	d	0.8305373984854718
imp1	rho_0.01	d	0.8283027749415154
imp2	rho_0.01	d	0.8283027776746376
slim	rho_0.01	d	0.8283027824995023
imp1	rho_0.01	d	0.8248887621176982
imp2	rho_0.01	d	0.8248887585718769
slim	rho_0.01	d	0.8248887657229074
imp1	rho_0.01	d	0.8302330555251156
imp2	rho_0.01	d	0.8302330487521555
slim	rho_0.01	d	0.8302330553773787
imp1	rho_0.01	d	0.8321808726536531
imp2	rho_0.01	d	0.832180878061029
slim	rho_0.01	d	0.8321808752615777
imp1	rho_0.01	d	0.8275012216222888
imp2	rho_0.01	d	0.8275012320827266
slim	rho_0.01	d	0.8275012245897624
imp1	rho_0.01	d	0.8310805656510402
imp2	rho_0.01	d	0.8310805663374323
