Pi	type	N	mean	sd	pop
rawPi	allGenes	7259	-0.0680259853948343	0.223456957714531	CEU
rawPi	positive	26	0.479526059340698	0.122021994256531	CEU
rawPi	negative	141	-0.476424253888708	0.139969438223691	CEU
PiNeutral	allGenes	6379	0.0414076023890949	0.22614745598908	CEU
PiNeutral	positive	133	0.40666110821427	0.167351435083073	CEU
PiNeutral	negative	24	-0.462460592576181	0.156126923670861	CEU
rawPi	allGenes	9284	-0.062718014475544	0.214442820918688	YRI
rawPi	positive	50	0.470681374320425	0.126659508759493	YRI
rawPi	negative	189	-0.453331946074136	0.135076017224233	YRI
PiNeutral	allGenes	8542	0.0371034296927515	0.219708502228252	YRI
PiNeutral	positive	183	0.395239091679953	0.152048820424948	YRI
PiNeutral	negative	45	-0.444082683479927	0.141881872497307	YRI
PiNeutral	allGenes	9761	-0.0173521970761921	0.222356372663507	RAL
PiNeutral	positive	1057	0.279248543280905	0.149104753730664	RAL
PiNeutral	negative	688	-0.401220550052911	0.13270425394551	RAL
PiNeutral	allGenes	11716	-0.0377607627673056	0.219127645148167	ZI
PiNeutral	positive	1277	0.264945843978169	0.12385865495542	ZI
PiNeutral	negative	1412	-0.380910286379556	0.134646142272205	ZI
rawPi	allGenes	10186	-0.0405605364323802	0.221142044293839	RAL
rawPi	positive	718	0.360456887929966	0.128255310900659	RAL
rawPi	negative	1069	-0.351112112604426	0.126881635627552	RAL
rawPi	allGenes	11812	-0.00928807160399001	0.221347404333154	ZI
rawPi	positive	1422	0.348601068646659	0.133623952655321	ZI
rawPi	negative	1281	-0.321732677862018	0.110953191257721	ZI
