test	bins	pop	count	mean	std	min	5%	50%	95%	max
asymp1	1	ZI	0.001	0.888		0.888	0.888	0.888	0.888	0.888
asymp1	2	ZI	0.003	0.876	0.017	0.864	0.865	0.868	0.894	0.896
asymp1	5	ZI	0.006	0.849	0.026	0.816	0.817	0.854	0.877	0.88
asymp1	10	ZI	0.026	0.661	0.376	-0.941	0.25	0.809	0.864	0.98
asymp1	25	ZI	0.413	0.56	0.211	-0.414	0.17	0.597	0.821	0.951
asymp1	50	ZI	0.913	0.6	0.135	-0.265	0.352	0.623	0.775	0.877
asymp1	75	ZI	0.961	0.628	0.1	0.102	0.448	0.64	0.767	0.86
asymp1	100	ZI	0.976	0.634	0.086	0.23	0.482	0.642	0.762	0.824
asymp1	250	ZI	0.995	0.645	0.055	0.459	0.544	0.649	0.729	0.779
asymp1	500	ZI	1	0.65	0.04	0.502	0.583	0.653	0.709	0.746
asymp1	750	ZI	1	0.654	0.033	0.538	0.595	0.658	0.703	0.732
asymp1	1000	ZI	1	0.656	0.027	0.553	0.607	0.658	0.696	0.722
grapes	1	ZI	0.006	0.202	0.046	0.115	0.134	0.216	0.238	0.239
grapes	2	ZI	0.023	0.198	0.039	0.115	0.119	0.21	0.239	0.247
grapes	5	ZI	0.088	0.21	0.033	0.103	0.153	0.216	0.249	0.249
grapes	10	ZI	0.29	0.203	0.033	0.09	0.139	0.208	0.247	0.249
grapes	25	ZI	0.951	0.178	0.035	0.082	0.121	0.178	0.235	0.249
grapes	50	ZI	1	0.124	0.021	0.075	0.091	0.124	0.158	0.22
grapes	75	ZI	1	0.101	0.014	0.061	0.078	0.101	0.123	0.144
grapes	100	ZI	1	0.087	0.01	0.057	0.07	0.087	0.105	0.123
grapes	250	ZI	1	0.055	0.004	0.044	0.048	0.055	0.062	0.07
grapes	500	ZI	1	0.04	0.002	0.034	0.036	0.04	0.044	0.046
grapes	750	ZI	1	0.033	0.001	0.03	0.032	0.034	0.036	0.038
grapes	1000	ZI	1	0.03	0.001	0.028	0.028	0.03	0.032	0.034
imp2	1	ZI	0.543	-0.015	1.27	-10.667	-2.332	0.417	0.915	1
imp2	2	ZI	0.815	0.245	0.933	-10.429	-1.335	0.538	0.915	0.978
imp2	5	ZI	0.996	0.528	0.337	-1.75	-0.133	0.605	0.899	0.978
imp2	10	ZI	1	0.596	0.222	-0.686	0.176	0.639	0.874	0.976
imp2	25	ZI	1	0.641	0.137	-0.011	0.403	0.655	0.828	0.946
imp2	50	ZI	1	0.662	0.095	0.253	0.486	0.673	0.799	0.892
imp2	75	ZI	1	0.67	0.078	0.391	0.53	0.678	0.783	0.869
imp2	100	ZI	1	0.674	0.068	0.393	0.557	0.677	0.774	0.85
imp2	250	ZI	1	0.682	0.041	0.549	0.611	0.683	0.75	0.798
imp2	500	ZI	1	0.684	0.029	0.587	0.633	0.684	0.729	0.77
imp2	750	ZI	1	0.686	0.023	0.609	0.647	0.687	0.722	0.751
imp2	1000	ZI	1	0.686	0.02	0.628	0.652	0.687	0.717	0.746
asymp1	1	AFR	0							
asymp1	2	AFR	0							
asymp1	5	AFR	0							
asymp1	10	AFR	0							
asymp1	25	AFR	0							
asymp1	50	AFR	0							
asymp1	75	AFR	0.006	0.167	0.272	-0.196	-0.166	0.223	0.493	0.573
asymp1	100	AFR	0.022	0.053	0.246	-0.272	-0.267	-0.022	0.466	0.502
asymp1	250	AFR	0.668	0.116	0.23	-1.028	-0.293	0.149	0.418	0.62
asymp1	500	AFR	0.933	0.201	0.108	-0.221	0.039	0.191	0.393	0.563
asymp1	750	AFR	0.982	0.196	0.089	-0.027	0.059	0.189	0.357	0.486
asymp1	1000	AFR	0.993	0.195	0.076	-0.172	0.078	0.19	0.333	0.454
grapes	2	AFR	0.001	0.201		0.201	0.201	0.201	0.201	0.201
grapes	5	AFR	0.002	0.197	0.006	0.193	0.193	0.197	0.201	0.201
grapes	10	AFR	0.006	0.207	0.032	0.182	0.182	0.192	0.249	0.249
grapes	25	AFR	0.055	0.222	0.025	0.164	0.176	0.229	0.249	0.249
grapes	50	AFR	0.482	0.221	0.021	0.132	0.184	0.224	0.247	0.249
grapes	75	AFR	0.974	0.202	0.023	0.127	0.163	0.203	0.237	0.249
grapes	100	AFR	1	0.176	0.019	0.111	0.144	0.176	0.206	0.23
grapes	250	AFR	1	0.112	0.008	0.085	0.098	0.111	0.125	0.133
grapes	500	AFR	1	0.081	0.004	0.068	0.074	0.08	0.087	0.093
grapes	750	AFR	1	0.067	0.003	0.06	0.063	0.067	0.072	0.075
grapes	1000	AFR	1	0.059	0.002	0.054	0.056	0.06	0.062	0.066
imp2	1	AFR	0.262	-0.694	2.499	-18.333	-5	0	0.812	0.9
imp2	2	AFR	0.535	-0.441	1.555	-13.25	-3.357	0	0.761	0.905
imp2	5	AFR	0.911	-0.275	1.217	-9.783	-2.529	0.083	0.741	0.923
imp2	10	AFR	0.995	-0.103	0.873	-8.143	-1.542	0.119	0.687	0.901
imp2	25	AFR	1	0.049	0.366	-3.056	-0.611	0.105	0.509	0.77
imp2	50	AFR	1	0.082	0.235	-0.822	-0.331	0.099	0.421	0.597
imp2	75	AFR	1	0.09	0.191	-0.86	-0.243	0.108	0.369	0.587
imp2	100	AFR	1	0.102	0.166	-0.712	-0.188	0.112	0.358	0.528
imp2	250	AFR	1	0.11	0.11	-0.223	-0.077	0.109	0.287	0.439
imp2	500	AFR	1	0.117	0.078	-0.143	-0.009	0.118	0.241	0.335
imp2	750	AFR	1	0.12	0.064	-0.09	0.019	0.119	0.225	0.3
imp2	1000	AFR	1	0.125	0.053	-0.043	0.037	0.126	0.207	0.274
