test		std	emkt2	fww2	imp2	asymp1	grapes
pop	bins						
AFR	(-0.000761, 0.0349]	-0.501 (-0.591--0.433)	-0.459 (-0.552--0.39)	0.048 (-0.069-0.141)	0.048 (-0.069-0.141)	-0.097 (-0.597-0.122)	0.262 (0.191-0.318)
AFR	(0.0349, 0.0637]	-0.555 (-0.684--0.445)	-0.507 (-0.629--0.398)	0.091 (-0.022-0.211)	0.091 (-0.021-0.211)	0.089 (-0.033-0.209)	0.202 (0.12-0.28)
AFR	(0.0637, 0.0991]	-0.637 (-0.725--0.564)	-0.591 (-0.673--0.519)	-0.022 (-0.121-0.07)	-0.022 (-0.121-0.07)	0.032 (-0.106-0.199)	0.243 (0.169-0.311)
AFR	(0.0991, 0.141]	-0.53 (-0.638--0.432)	-0.472 (-0.576--0.378)	0.177 (0.087-0.264)	0.177 (0.087-0.264)	0.349 (0.203-0.497)	0.281 (0.213-0.347)
AFR	(0.141, 0.201]	-0.44 (-0.532--0.355)	-0.393 (-0.484--0.313)	0.202 (0.112-0.282)	0.202 (0.112-0.282)	0.242 (0.123-0.338)	0.295 (0.25-0.348)
AFR	(0.201, 0.275]	-0.593 (-0.69--0.502)	-0.552 (-0.649--0.469)	-0.074 (-0.196-0.054)	-0.074 (-0.196-0.054)	-0.004 (-0.139-0.181)	0.232 (0.161-0.297)
AFR	(0.275, 0.372]	-0.42 (-0.568--0.306)	-0.378 (-0.519--0.266)	0.099 (-0.006-0.19)	0.099 (-0.006-0.19)	0.108 (-0.002-0.216)	0.312 (0.248-0.374)
AFR	(0.372, 0.501]	-0.46 (-0.546--0.379)	-0.414 (-0.5--0.338)	0.082 (-0.005-0.18)	0.082 (-0.005-0.18)	0.079 (-0.037-0.205)	0.28 (0.226-0.327)
AFR	(0.501, 0.675]	-0.517 (-0.609--0.444)	-0.466 (-0.548--0.395)	0.069 (-0.024-0.141)	0.069 (-0.024-0.141)	0.115 (-0.003-0.262)	0.274 (0.224-0.324)
AFR	(0.675, 0.908]	-0.502 (-0.581--0.427)	-0.447 (-0.528--0.373)	0.12 (0.043-0.2)	0.12 (0.043-0.2)	0.127 (0.026-0.224)	0.252 (0.185-0.317)
AFR	(0.908, 1.205]	-0.525 (-0.615--0.428)	-0.471 (-0.555--0.372)	0.067 (-0.014-0.152)	0.067 (-0.014-0.152)	0.066 (-0.04-0.162)	0.267 (0.206-0.318)
AFR	(1.205, 1.682]	-0.484 (-0.543--0.429)	-0.435 (-0.499--0.377)	0.06 (-0.016-0.151)	0.06 (-0.016-0.151)	0.092 (0.008-0.188)	0.28 (0.219-0.348)
AFR	(1.682, 2.436]	-0.458 (-0.535--0.378)	-0.404 (-0.477--0.33)	0.144 (0.083-0.205)	0.144 (0.083-0.206)	0.153 (0.074-0.239)	0.348 (0.294-0.397)
AFR	(2.436, 3.938]	-0.385 (-0.528--0.27)	-0.34 (-0.475--0.233)	0.104 (-0.021-0.202)	0.104 (-0.021-0.202)	0.118 (0.004-0.207)	0.254 (0.185-0.311)
AFR	(3.938, 86.611]	-0.395 (-0.478--0.336)	-0.347 (-0.428--0.284)	0.104 (0.028-0.178)	0.104 (0.028-0.177)	0.127 (0.048-0.229)	0.252 (0.214-0.3)
ZI	(-0.001, 0.0692]	-0.148 (-0.247--0.08)	-0.069 (-0.162--0.008)	0.413 (0.345-0.469)	0.413 (0.345-0.469)	0.372 (0.288-0.432)	0.42 (0.353-0.471)
ZI	(0.0692, 0.326]	-0.003 (-0.067-0.069)	0.085 (0.026-0.15)	0.481 (0.429-0.524)	0.481 (0.429-0.524)	0.479 (0.428-0.531)	0.567 (0.528-0.601)
ZI	(0.326, 0.653]	0.106 (0.029-0.173)	0.187 (0.116-0.247)	0.562 (0.517-0.604)	0.562 (0.517-0.603)	0.537 (0.482-0.586)	0.63 (0.58-0.67)
ZI	(0.653, 0.979]	0.288 (0.243-0.329)	0.355 (0.315-0.393)	0.643 (0.618-0.667)	0.643 (0.618-0.667)	0.633 (0.606-0.661)	0.692 (0.662-0.722)
