""	alphaStandard	alphaDGRP1	alphaDGRP2	alphaFWW1	alphaFWW2	alphaAsymptotic1	alphaAsymptotic2	trueAlpha	scenario
mean	-0.280500665128547	0.131442820486749	0.183315088174658	0.131442820486749	0.183315088174658	0.258804	0.306402	0.327748	baseline
sd	0.0365645643451067	0.0235758512203514	0.0214351519414319	0.0235758512203514	0.021435151941432	0.0179163357223034	0.0261615740180525	0.0101835781991781	baseline
error	0.608248665128547	0.196305179513251	0.144432911825342	0.196305179513251	0.144432911825342	0.068944	0.0274866	0	baseline
mean1	-0.16717101621393	0.143518839605157	0.162280484552761	0.143518839605157	0.162280484552761	0.14114375	0.0790555555555556	0.17144532	r0
sd1	0.0370930034122081	0.0235334720892867	0.0228420870108875	0.0235334720892867	0.0228420870108875	0.0194175832770863	0.0874630652205706	0.00412504695058005	r0
error1	0.33861633621393	0.0320975568771011	0.0203644305647864	0.0320975568771011	0.0203644305647864	0.031437625	0.103187333333333	0	r0
mean2	-0.275584381526862	0.13310496887789	0.183857219605298	0.13310496887789	0.183857219605298	0.259697674418605	0.307076744186047	0.332473790697674	r1e-5
sd2	0.0370777871410032	0.0237900844689461	0.0226595329782299	0.0237900844689461	0.0226595329782299	0.0226810439876048	0.0344544892175537	0.00921259792623056	r1e-5
error2	0.608058172224536	0.199368821819784	0.148616571092377	0.199368821819784	0.148616571092377	0.0727761162790698	0.0339544418604651	0	r1e-5
mean3	-0.164246871849479	0.14986508478193	0.167114997867534	0.14986508478193	0.167114997867534	0.154826470588235	0.0958875	0.20186808	r1e-10
sd3	0.0342023240031275	0.0239716435849064	0.0255841741203821	0.0239716435849064	0.0255841741203821	0.0208329766101367	0.0620353219276459	0.00602376106608027	r1e-10
error3	0.366114951849479	0.052152959206517	0.0381362242735126	0.052152959206517	0.0381362242735126	0.0484280588235294	0.10644275	0	r1e-10
mean4	-0.275957913825517	0.131510561156603	0.182058984625485	0.131510561156603	0.182058984625485	0.266268	0.31419756097561	0.33032872	l1e6
sd4	0.102471499230097	0.062026081983217	0.0554544822271244	0.062026081983217	0.0554544822271244	0.0537780451371702	0.0758042231270952	0.0310216080584525	l1e6
error4	0.606286633825517	0.198818158843397	0.148269735374515	0.198818158843397	0.148269735374515	0.06777372	0.0588012926829268	0	l1e6
mean5	-0.293100758308788	0.121647723334771	0.173042997763814	0.121647723334771	0.173042997763814	0.249888	0.29603	0.31922494	l1e8
sd5	0.0109877442431545	0.00668295662005909	0.00598351848454641	0.0066829566200591	0.00598351848454643	0.00478861916103043	0.00893231350154012	0.00289078016028581	l1e8
error5	0.612325698308788	0.197577216665229	0.146181942236186	0.197577216665229	0.146181942236186	0.06933694	0.02320746	0	l1e8
mean6	-0.268569571250122	0.141561409925933	0.190907570711784	0.141561409925933	0.190907570711784	0.263444	0.3201925	0.32760614	mu1e-10
sd6	0.106112246626672	0.0653856236086951	0.0637892733049765	0.0653856236086951	0.0637892733049765	0.0654581036282922	0.0828677549720189	0.0252318022142692	mu1e-10
error6	0.596175711250122	0.186044730074067	0.136698569288216	0.186044730074067	0.136698569288216	0.06876978	0.063248825	0	mu1e-10
mean7	-0.293234648121456	0.118499887038275	0.168422339190741	0.118499887038275	0.168422339190741	0.233392	0.270752	0.29481814	mu1e-8
sd7	0.0100589353738182	0.00677712221512349	0.00660189871359116	0.00677712221512352	0.00660189871359116	0.00654690579664959	0.00972033929029061	0.00285866222465927	mu1e-8
error7	0.588052788121456	0.176318252961725	0.126395800809259	0.176318252961725	0.126395800809259	0.06142614	0.02406614	0	mu1e-8
mean8	-0.799786324594349	-0.220303310430866	-0.147381083264644	-0.220303310430866	-0.147381083264644	-0.02915	0.035426	0.047127128	rb1
sd8	0.055188012555083	0.0336364552580824	0.0313432680736084	0.0336364552580823	0.0313432680736084	0.0279835611364521	0.044275435719632	0.00468968776141953	rb1
error8	0.846913452594349	0.267430438430866	0.194508211264644	0.267430438430866	0.194508211264644	0.076277128	0.037697436	0	rb1
mean9	0.648341746775763	0.750812038691529	0.760491277928221	0.750812038691529	0.760491277928221	0.760036	0.781244897959184	0.81284792	rb2
sd9	0.00970734099431837	0.00692067247478223	0.00695091990903903	0.00692067247478222	0.00695091990903903	0.00623737124115601	0.00653653390645257	0.00360461477938421	rb2
error9	0.164506173224237	0.0620358813084714	0.0523566420717786	0.0620358813084714	0.0523566420717786	0.05281192	0.0316097142857143	0	rb2
mean10	-0.718827276009142	-0.166908366644621	-0.0980287113103518	-0.166908366644621	-0.0980287113103518	0.0078	0.07012	0.09280063	sb1
sd10	0.0387615892959454	0.0246208107399235	0.0220505627976594	0.0246208107399235	0.0220505627976594	0.0235690561576671	0.0395443589723062	0.0065428501919255	sb1
error10	0.811627906009142	0.259708996644621	0.190829341310352	0.259708996644621	0.190829341310352	0.08500063	0.03592041	0	sb1
mean11	0.006361650847388	0.323314967007382	0.362084371751337	0.323314967007382	0.362084371751337	0.414952	0.449752	0.4714271	sb2
sd11	0.0246414297894979	0.0157206060934624	0.0152717059000533	0.0157206060934624	0.0152717059000533	0.0154697234253604	0.0250264451151585	0.00903515794617033	sb2
error11	0.465065449152612	0.148112132992618	0.109342728248663	0.148112132992618	0.109342728248663	0.0564751	0.0245389	0	sb2
mean12	-0.120271840989523	0.0576703139921974	0.0977981560970344	0.0576703139921974	0.0977981560970343	0.193694	0.216573469387755	0.23661114	sd1
