d	d_w	d_0	test	analysis
0.7935719335402791	0.04111762848943342	0.16531043797028747	imp1	2nes_neg_1000
0.7935719401265999	0.08190815505637004	0.12451990481703003	imp2	2nes_neg_1000
0.7935719338864236	0.09452376358608269	0.1123223358415332	slim	2nes_neg_1000
0.7912768175677548	0.042838995812921124	0.16588418661932408	imp1	2nes_neg_1000
0.7912768169467794	0.09012954551183583	0.11859363754138477	imp2	2nes_neg_1000
0.7912768101338707	0.09820386097915967	0.11088719351278728	slim	2nes_neg_1000
0.7883971244837806	0.04096872040831039	0.17063415510790897	imp1	2nes_neg_1000
0.7883971234618756	0.08888379927824433	0.12271907725988009	imp2	2nes_neg_1000
0.7883971311408453	0.09763270107337155	0.11413354245290724	slim	2nes_neg_1000
0.7873583097789343	0.04060502503084963	0.17203666519021604	imp1	2nes_neg_1000
0.7873583026065549	0.0877351403122239	0.12490655708122118	imp2	2nes_neg_1000
0.7873583017536953	0.09769181554210345	0.11545843791525173	slim	2nes_neg_1000
0.7936561834144468	0.041053131525401965	0.16529068506015124	imp1	2nes_neg_1000
0.7936561865681269	0.08797809720318506	0.11836571622868801	imp2	2nes_neg_1000
0.7936561908000195	0.09591813604054339	0.11066854487459724	slim	2nes_neg_1000
0.7880366626955638	0.039646228444490866	0.17231710885994533	imp1	2nes_neg_1000
0.7880366570972348	0.08927332843098515	0.12269001447178003	imp2	2nes_neg_1000
0.78803666184274	0.09784531275124617	0.11442354076218042	slim	2nes_neg_1000
0.792336146139159	0.042663439425747865	0.16500041443509308	imp1	2nes_neg_1000
0.7923361309647565	0.08500902970854116	0.12265483932670238	imp2	2nes_neg_1000
0.7923361387401173	0.09705751083907166	0.11078168834481	slim	2nes_neg_1000
0.7907084450771934	0.04141899838773569	0.1678725565350709	imp1	2nes_neg_1000
0.7907084378010953	0.0839782716661335	0.12531329053277118	imp2	2nes_neg_1000
0.7907084451258465	0.09970295132234572	0.1097163664239172	slim	2nes_neg_1000
0.7849462432214891	0.041973928690789926	0.17307982808772102	imp1	2nes_neg_1000
0.7849462303845122	0.08910370915204371	0.12595006046344412	imp2	2nes_neg_1000
0.7849462365591398	0.10099029316599667	0.11422688498872438	slim	2nes_neg_1000
0.7909963779326387	0.040462376843715536	0.16854124522364577	imp1	2nes_neg_1000
0.7909963748696048	0.08537969679979121	0.12362392833060398	imp2	2nes_neg_1000
0.7909963715762772	0.098111935266352	0.1112449025463186	slim	2nes_neg_1000
0.7934046811294067	0.03971893361494535	0.16687638525564802	imp1	2nes_neg_1000
0.7934046804655719	0.08560619547576771	0.12098912405866033	imp2	2nes_neg_1000
0.7934046769718589	0.09534680935394371	0.11154974237019422	slim	2nes_neg_1000
0.7889317891647912	0.04115082023031814	0.1699173906048906	imp1	2nes_neg_1000
0.7889317812953303	0.09379297739192838	0.11727524131274131	imp2	2nes_neg_1000
0.788931788931789	0.0991151866151866	0.11224259974259973	slim	2nes_neg_1000
0.7914969080404051	0.04054921827572085	0.16795387368387416	imp1	2nes_neg_1000
0.7914969037547422	0.08360381681916054	0.12489927942609724	imp2	2nes_neg_1000
0.7914969084024349	0.0970138522743613	0.11168096630398312	slim	2nes_neg_1000
0.7907576275150773	0.04045715264437276	0.16878521984054995	imp1	2nes_neg_1000
0.7907576236650057	0.08505673320391749	0.12418564313107684	imp2	2nes_neg_1000
0.7907576263904139	0.09600420107891344	0.1132540857083751	slim	2nes_neg_1000
0.7887497191771293	0.04258722292080897	0.16866305790206168	imp1	2nes_neg_1000
0.7887497182949871	0.09133032183835922	0.11991995986665371	imp2	2nes_neg_1000
0.7887497168009839	0.09929766644010746	0.11229245557821146	slim	2nes_neg_1000
0.7877795642917207	0.044026866827861014	0.1681935688804183	imp1	2nes_neg_1000
0.7877795666632263	0.09396902021715943	0.11825141311961426	imp2	2nes_neg_1000
0.7877795696297383	0.09772109009757447	0.1147273941585626	slim	2nes_neg_1000
0.7915546650307035	0.04179980565542044	0.16664552931387608	imp1	2nes_neg_1000
0.7915546524470747	0.0855061994474465	0.12293914810547875	imp2	2nes_neg_1000
0.7915546594982079	0.09643817204301075	0.11227918586789554	slim	2nes_neg_1000
0.7917308853846283	0.04003464126919307	0.16823447334617855	imp1	2nes_neg_1000
0.791730892898216	0.08363962733299792	0.12462947976878613	imp2	2nes_neg_1000
0.7917308927424535	0.09592164418754014	0.11252408477842003	slim	2nes_neg_1000
0.788775008373906	0.04352138010828038	0.16770361151781357	imp1	2nes_neg_1000
0.7887750059968777	0.08997472557950109	0.12125026842362129	imp2	2nes_neg_1000
0.7887750122010737	0.09985358711566618	0.11172929884496502	slim	2nes_neg_1000
0.785290447332148	0.04486176221414101	0.16984779045371098	imp1	2nes_neg_1000
0.7852904559534457	0.09581703814568879	0.11889250590086546	imp2	2nes_neg_1000
0.7852904537109887	0.1018882769472856	0.11295239968528717	slim	2nes_neg_1000
0.7916963839570326	0.03843834387752887	0.16986527216543856	imp1	2nes_neg_1000
0.7916963795946215	0.08815550218970625	0.1201481182156723	imp2	2nes_neg_1000
0.7916963790507884	0.09549164091593376	0.11306552571111639	slim	2nes_neg_1000
0.7878208530761273	0.04237537718692576	0.16980376973694694	imp1	2nes_neg_1000
0.7878208547443086	0.09080449777230144	0.1213746474833899	imp2	2nes_neg_1000
0.7878208498637733	0.10098306326976084	0.11149881299491739	slim	2nes_neg_1000
0.7895814146567526	0.04030334268895925	0.17011524265428812	imp1	2nes_neg_1000
0.7895814245290835	0.08254065209519318	0.1278779233757233	imp2	2nes_neg_1000
0.7895814193382009	0.09633641184339893	0.11432393662459907	slim	2nes_neg_1000
0.788676693177341	0.04237675653973713	0.1689465502829218	imp1	2nes_neg_1000
0.7886767045668258	0.08540500518111657	0.1259182902520576	imp2	2nes_neg_1000
0.7886766975308642	0.09926376028806584	0.11231674382716048	slim	2nes_neg_1000
0.792115030443397	0.038068856805436355	0.16981611275116656	imp1	2nes_neg_1000
0.7921150368824481	0.08530606586967078	0.12257889724788115	imp2	2nes_neg_1000
0.792115036663175	0.09657810367266609	0.11176713328889311	slim	2nes_neg_1000
0.7852385592908844	0.039718341125381994	0.17504309958373357	imp1	2nes_neg_1000
0.7852385543334861	0.09251026090826864	0.12225118475824527	imp2	2nes_neg_1000
0.7852385526737111	0.1004963176432917	0.11463336535382646	slim	2nes_neg_1000
0.7887939351097197	0.0395122246624043	0.17169384022787595	imp1	2nes_neg_1000
0.7887939358863725	0.09258327328045599	0.1186227908331715	imp2	2nes_neg_1000
0.7887939405709847	0.0995500744481129	0.11178545995986275	slim	2nes_neg_1000
0.7881256013324932	0.04229058457271199	0.16958381409479484	imp1	2nes_neg_1000
0.7881255926645804	0.09454807130335809	0.11732633603206154	imp2	2nes_neg_1000
0.7881255959018115	0.09999838399508734	0.11205378064349315	slim	2nes_neg_1000
0.7914511056994431	0.04062400447491986	0.16792488982563708	imp1	2nes_neg_1000
0.7914511020152099	0.08832051770759781	0.1202283802771923	imp2	2nes_neg_1000
0.7914511081305486	0.09732068723254773	0.11146771412147921	slim	2nes_neg_1000
0.7876912170505904	0.04347208871854739	0.16883669423086223	imp1	2nes_neg_1000
0.7876912173213134	0.09040670811028384	0.12190207456840273	imp2	2nes_neg_1000
0.7876912165320695	0.10021438818769443	0.11233618646936505	slim	2nes_neg_1000
0.7909620890857478	0.04023214868279669	0.16880576223145555	imp1	2nes_neg_1000
0.790962087233103	0.08405485482249014	0.12498305794440687	imp2	2nes_neg_1000
0.7909620897349181	0.09659548426579058	0.11274841369536509	slim	2nes_neg_1000
0.7928410504095667	0.04212281702930082	0.16503613256113256	imp1	2nes_neg_1000
0.7928410599182565	0.09060186157466493	0.11655707850707851	imp2	2nes_neg_1000
0.7928410553410554	0.09860038610038609	0.10886422136422136	slim	2nes_neg_1000
0.7910737172892266	0.04015913527487601	0.16876714743589744	imp1	2nes_neg_1000
0.7910737240615913	0.08940738170763943	0.11951889423076924	imp2	2nes_neg_1000
0.791073717948718	0.09746794871794873	0.11181089743589742	slim	2nes_neg_1000
0.793132084158731	0.03986093612556857	0.16700697971570036	imp1	2nes_neg_1000
0.7931320931209951	0.08575453840751479	0.12111336847149018	imp2	2nes_neg_1000
0.7931320875259543	0.09519246126816802	0.11225043922696054	slim	2nes_neg_1000
0.7874522347148465	0.04224227825698479	0.17030548702816878	imp1	2nes_neg_1000
0.7874522266167663	0.08334557728203892	0.1292021961011948	imp2	2nes_neg_1000
0.7874522323803996	0.10125929150744126	0.11141746884019413	slim	2nes_neg_1000
0.7886361804213822	0.04114611947487509	0.1702177001037427	imp1	2nes_neg_1000
0.7886361870138432	0.09147243959217394	0.11989137339398293	imp2	2nes_neg_1000
0.7886361822679755	0.10003990104540739	0.11145160003192084	slim	2nes_neg_1000
0.7932988707677979	0.040023803884828936	0.16667732534737317	imp1	2nes_neg_1000
0.7932988821318133	0.08465149543021473	0.12204962243797195	imp2	2nes_neg_1000
0.7932988777793879	0.09510698932521856	0.1119966510489623	slim	2nes_neg_1000
0.7930830634867173	0.040748104306669364	0.1661688322066133	imp1	2nes_neg_1000
0.7930830534279556	0.08312675622827492	0.12379019034376948	imp2	2nes_neg_1000
0.7930830576465135	0.09680203289063623	0.11022678237522174	slim	2nes_neg_1000
0.7882565693861526	0.04217716810610645	0.16956626250774093	imp1	2nes_neg_1000
0.7882565735004063	0.08672629863544318	0.12501712786415045	imp2	2nes_neg_1000
0.7882565757309083	0.09817150679573677	0.11396303901437371	slim	2nes_neg_1000
0.7847081864956624	0.042662157137025924	0.1726296563673116	imp1	2nes_neg_1000
0.7847081826191316	0.09136104123943686	0.12393077614143164	imp2	2nes_neg_1000
0.7847081849391986	0.1009721821156993	0.11456027208265152	slim	2nes_neg_1000
0.7887750552117068	0.04193902108186881	0.1692859237064244	imp1	2nes_neg_1000
0.7887750578206516	0.08967234536254316	0.1215525968168052	imp2	2nes_neg_1000
0.7887750499387847	0.09950705586700173	0.11199175204587924	slim	2nes_neg_1000
0.7903186718215844	0.040795586638262646	0.16888574154015296	imp1	2nes_neg_1000
0.7903186662469923	0.08964063918056739	0.12004069457244022	imp2	2nes_neg_1000
0.790318669059514	0.09776721475804756	0.11228597759130815	slim	2nes_neg_1000
0.7857907539696578	0.0412851746597015	0.17292407137064073	imp1	2nes_neg_1000
0.7857907618126175	0.0883478756569688	0.12586136253041363	imp2	2nes_neg_1000
0.7857907542579076	0.10004866180048662	0.11445255474452555	slim	2nes_neg_1000
0.7891358532395896	0.0398454011514177	0.17101874560899277	imp1	2nes_neg_1000
0.7891358506418724	0.08290366842308253	0.12796048093504503	imp2	2nes_neg_1000
0.7891358497796512	0.0969534393561985	0.1141182857507824	slim	2nes_neg_1000
0.7917031495587973	0.038862002987971815	0.16943484745323087	imp1	2nes_neg_1000
0.7917031415212742	0.08007565755793339	0.1282212009207924	imp2	2nes_neg_1000
0.7917031417177318	0.0976396589177447	0.1110948999773044	slim	2nes_neg_1000
0.7908851092579591	0.04220320928365765	0.1669116814583833	imp1	2nes_neg_1000
0.7908851052059496	0.08769802424155987	0.1214168705524906	imp2	2nes_neg_1000
0.7908851043415688	0.09781722235548092	0.11131366434796514	slim	2nes_neg_1000
0.7924604183345725	0.0422722237360006	0.1652673579294269	imp1	2nes_neg_1000
0.792460409308637	0.08754780546509501	0.11999178522626798	imp2	2nes_neg_1000
0.7924604131500683	0.09809500843983601	0.10997508238887549	slim	2nes_neg_1000
0.7887324003277041	0.04020760649524056	0.17105999317705542	imp1	2nes_neg_1000
0.7887323867176166	0.08683814141078477	0.12442947187159868	imp2	2nes_neg_1000
0.7887323943661972	0.09839660802183342	0.11324463505369006	slim	2nes_neg_1000
0.7911864352394805	0.03806540431251527	0.1707481604480042	imp1	2nes_neg_1000
0.7911864363306078	0.08516097852906523	0.12365258514032688	imp2	2nes_neg_1000
0.791186429641206	0.09624275574656507	0.11296151592107834	slim	2nes_neg_1000
0.7913611216435337	0.038827962365214505	0.16981091599125178	imp1	2nes_neg_1000
0.7913611263091458	0.09005772741528496	0.11858114627556927	imp2	2nes_neg_1000
0.7913611218319825	0.0977743470989322	0.11113791328959217	slim	2nes_neg_1000
0.790601206039716	0.0439260566318957	0.16547273732838833	imp1	2nes_neg_1000
0.7906012061030333	0.08662745223517998	0.12277134166178671	imp2	2nes_neg_1000
0.7906012102283818	0.09771292862255189	0.11219012297481945	slim	2nes_neg_1000
0.7903508757050817	0.04107959862890148	0.1685695256660169	imp1	2nes_neg_1000
0.7903508782410027	0.08599320882852292	0.12365591293047433	imp2	2nes_neg_1000
0.7903508771929825	0.09717348927875243	0.11301169590643274	slim	2nes_neg_1000
0.7894864439020932	0.042326934045953266	0.1681866220519535	imp1	2nes_neg_1000
0.7894864485502913	0.08190244303272284	0.12861110841698592	imp2	2nes_neg_1000
0.7894864458561661	0.09769975591225773	0.11321791701016762	slim	2nes_neg_1000
0.7910319114732314	0.04107381814255864	0.16789427038421	imp1	2nes_neg_1000
0.7910319033118509	0.08158888490954092	0.12737921177860817	imp2	2nes_neg_1000
0.7910319057200346	0.09641978857270607	0.11304333940148828	slim	2nes_neg_1000
0.7879375818225024	0.041407070129959395	0.1706553480475382	imp1	2nes_neg_1000
0.78793759070737	0.08986502874448546	0.12219738054814455	imp2	2nes_neg_1000
0.7879375859002344	0.09986255962486862	0.11255558250464871	slim	2nes_neg_1000
0.7875497106117929	0.04083718980213452	0.17161309958607257	imp1	2nes_neg_1000
0.7875497069466297	0.0910429884514711	0.12140730460189919	imp2	2nes_neg_1000
0.7875497118740362	0.09997565132700267	0.1127343559775992	slim	2nes_neg_1000
0.791672704168644	0.042348685001681416	0.16597861082967466	imp1	2nes_neg_1000
0.7916727029392163	0.08691808846008564	0.12140920860069797	imp2	2nes_neg_1000
0.7916726974477735	0.09700712436274746	0.11152924526784709	slim	2nes_neg_1000
0.7922735558728651	0.036580693186650734	0.17114575094048423	imp1	2nes_neg_1000
0.7922735624123455	0.07841549903262413	0.1293109385550304	imp2	2nes_neg_1000
0.7922735603356805	0.0956400115751905	0.11210250474261277	slim	2nes_neg_1000
0.7894873962146028	0.0415416933330197	0.16897091045237747	imp1	2nes_neg_1000
0.7894873922358702	0.08846067958454626	0.1220519281795836	imp2	2nes_neg_1000
0.7894873923589067	0.09977047419055525	0.11101886669596783	slim	2nes_neg_1000
0.7867879486842502	0.04062955711263974	0.17258249420311003	imp1	2nes_neg_1000
0.7867879616795725	0.08802504605501901	0.1251869922654084	imp2	2nes_neg_1000
0.786787955440969	0.09682022344375801	0.11676476788117592	slim	2nes_neg_1000
0.794959414175841	0.04072014663229728	0.16432043919186165	imp1	2nes_neg_1000
0.7949594190516873	0.08604058094831268	0.119	imp2	2nes_neg_1000
0.7949594190516873	0.09630262470928852	0.10900691379119401	slim	2nes_neg_1000
0.7884537598193448	0.040190794620085166	0.17135544556057003	imp1	2nes_neg_1000
0.7884537616667475	0.08654623833325245	0.125	imp2	2nes_neg_1000
0.7884537616667475	0.099464583232235	0.11255075136280551	slim	2nes_neg_1000
0.787939417379575	0.04173292657630809	0.17032765604411693	imp1	2nes_neg_1000
0.7879394284837162	0.08668147825582796	0.12537909326045582	imp2	2nes_neg_1000
0.7879394205586192	0.09851479511330177	0.11387113041497893	slim	2nes_neg_1000
0.7899466652103831	0.042855551779060475	0.16719778301055635	imp1	2nes_neg_1000
0.7899466588941556	0.08861212176165037	0.12144121934419402	imp2	2nes_neg_1000
0.7899466576961891	0.0984349720473513	0.11201883800278725	slim	2nes_neg_1000
