simulation	std	emkt1	emkt2	emkt3	emkt4	fww1	fww2	fww3	fww4	imp1	imp2	imp3	imp4	asymp1	asymp2	grapes	trueAlpha
2nes_neg_1000	-0.333	-0.137	-0.123	-0.201	-0.201	-0.072	0.140	0.176	0.222	-0.072	0.140	0.176	0.222	0.245	0.227	0.350	0.301
2nes_neg_500	-0.427	-0.222	-0.214	-0.282	-0.282	-0.154	0.061	0.130	0.190	-0.154	0.061	0.130	0.190	0.275	0.300	0.299	0.271
2nes_pos_100	-0.636	-0.390	-0.370	-0.463	-0.463	-0.311	-0.050	0.017	0.054	-0.311	-0.050	0.017	0.054	0.069	0.103	0.205	0.176
2nes_pos_500	0.033	0.181	0.176	0.121	0.121	0.235	0.382	0.422	0.442	0.235	0.382	0.422	0.442	0.444	0.458	0.538	0.484
alpha_0.1	-0.821	-0.549	-0.536	-0.619	-0.619	-0.463	-0.198	-0.078	-0.007	-0.463	-0.198	-0.078	-0.007	0.062	0.066	0.118	0.080
alpha_0.7	0.316	0.414	0.408	0.372	0.372	0.450	0.547	0.570	0.589	0.450	0.547	0.570	0.589	0.594	0.603	0.657	0.629
base	-0.282	-0.085	-0.088	-0.161	-0.161	-0.019	0.166	0.228	0.249	-0.019	0.166	0.228	0.249	0.229	0.245	0.381	0.355
base_weakly	-0.261	-0.077	-0.068	-0.134	-0.134	-0.019	0.164	0.203	0.270	-0.019	0.164	0.203	0.270	0.295	0.345	0.434	0.410
base_weakly_bgs	-0.866	-0.615	-0.560	-0.654	-0.654	-0.515	-0.159	-0.063	-0.003	-0.515	-0.159	-0.063	-0.003	-0.101	-0.096	0.267	0.161
genes_1k	-0.243	-0.040	-0.014	-0.105	-0.105	0.021	0.238	0.259	0.283	0.021	0.238	0.259	0.283	0.276	0.322	0.425	0.346
genes_28k	-0.268	-0.072	-0.064	-0.142	-0.142	-0.006	0.202	0.248	0.284	-0.006	0.202	0.248	0.284	0.315	0.318	0.401	0.339
rho_0.0001	-0.282	-0.090	-0.078	-0.161	-0.161	-0.024	0.204	0.256	0.278	-0.024	0.204	0.256	0.278	0.298	0.315	0.400	0.342
rho_0.01	-0.243	-0.058	-0.049	-0.116	-0.116	-0.000	0.187	0.252	0.276	-0.000	0.187	0.252	0.276	0.279	0.305	0.397	0.342
shape_0.1	-0.113	-0.062	-0.063	-0.073	-0.073	-0.045	0.001	0.030	0.056	-0.045	0.001	0.030	0.056	0.058	0.061	0.135	0.112
shape_0.2	-0.210	-0.096	-0.078	-0.123	-0.123	-0.058	0.091	0.127	0.159	-0.058	0.091	0.127	0.159	0.229	0.232	0.247	0.210
theta_0.0001	-0.259	-0.067	-0.023	-0.126	-0.126	-0.010	0.243	0.323	0.284	-0.010	0.243	0.323	0.284	0.021	0.228	0.407	0.341
theta_0.01	-0.306	-0.117	-0.145	-0.214	-0.214	-0.024	0.179	0.229	0.249	-0.024	0.179	0.229	0.249	0.254	0.263	0.382	0.280
