Simulations	MKT	eMKT 0.05	eMKT 0.15	eMKT 0.25	eMKT 0.35	fwwMKT 0.05	fwwMKT 0.15	fwwMKT 0.25	fwwMKT 0.35	impMKT 0.05	impMKT 0.15	impMKT 0.25	impMKT 0.35	aMKT	Grapes
2Nes- = 1000	0.634	0.438	0.425	0.502	0.502	0.373	0.161	0.125	0.079	0.373	0.161	0.125	0.079	0.074	0.049
2Nes- = 500	0.698	0.493	0.485	0.553	0.553	0.425	0.210	0.141	0.081	0.425	0.210	0.141	0.081	0.030	0.028
2Nes+ = 100	0.812	0.565	0.546	0.639	0.639	0.487	0.226	0.159	0.122	0.487	0.226	0.159	0.122	0.073	0.029
2Nes+ = 500	0.451	0.304	0.308	0.363	0.363	0.249	0.102	0.062	0.042	0.249	0.102	0.062	0.042	0.027	0.053
α = 0.1	0.901	0.629	0.616	0.699	0.699	0.543	0.278	0.158	0.087	0.543	0.278	0.158	0.087	0.014	0.038
α = 0.7	0.313	0.216	0.221	0.257	0.257	0.179	0.083	0.059	0.041	0.179	0.083	0.059	0.041	0.027	0.028
Base	0.638	0.441	0.443	0.517	0.517	0.374	0.189	0.127	0.106	0.374	0.189	0.127	0.106	0.111	0.025
base_weakly	0.671	0.487	0.478	0.544	0.544	0.429	0.246	0.207	0.140	0.429	0.246	0.207	0.140	0.065	0.024
base_weakly_bgs	1.027	0.776	0.722	0.815	0.815	0.676	0.321	0.224	0.165	0.676	0.321	0.224	0.165	0.257	0.105
Genes = 2k	0.589	0.386	0.360	0.451	0.451	0.325	0.108	0.087	0.063	0.325	0.108	0.087	0.063	0.024	0.079
Genes = 28k	0.606	0.410	0.402	0.480	0.480	0.344	0.136	0.091	0.055	0.344	0.136	0.091	0.055	0.021	0.063
ρ = 0.0001	0.624	0.432	0.420	0.503	0.503	0.365	0.138	0.085	0.063	0.365	0.138	0.085	0.063	0.027	0.058
ρ =  0.01	0.585	0.400	0.391	0.458	0.458	0.343	0.156	0.090	0.066	0.343	0.156	0.090	0.066	0.037	0.055
Shape = 0.1	0.224	0.173	0.175	0.185	0.185	0.157	0.110	0.082	0.055	0.157	0.110	0.082	0.055	0.051	0.023
Shape = 0.2	0.420	0.306	0.288	0.334	0.334	0.268	0.120	0.083	0.051	0.268	0.120	0.083	0.051	0.022	0.037
θ = 0.0001	0.600	0.408	0.364	0.467	0.467	0.350	0.098	0.018	0.057	0.350	0.098	0.018	0.057	0.113	0.066
θ = 0.01	0.586	0.397	0.425	0.494	0.494	0.304	0.101	0.051	0.031	0.304	0.101	0.051	0.031	0.017	0.102
