simulation	std	emkt1	emkt2	emkt3	emkt4	fww1	fww2	fww3	fww4	imp1	imp2	imp3	imp4	asymp1	asymp2	grapes	trueAlpha
base	0.02525	0.02240	0.02310	0.02454	0.02454	0.02169	0.02212	0.02393	0.02815	0.02169	0.02212	0.02393	0.02815	0.03891	0.04482	0.01844	0.00750
2nes_neg_1000	0.02643	0.02467	0.02432	0.02516	0.02516	0.02443	0.02425	0.02627	0.02712	0.02443	0.02425	0.02627	0.02712	0.03941	0.03635	0.02186	0.00577
2nes_neg_500	0.02539	0.02307	0.02171	0.02274	0.02274	0.02275	0.01974	0.02196	0.02277	0.02275	0.01974	0.02196	0.02277	0.03861	0.04166	0.01892	0.00532
2nes_pos_500	0.02012	0.01876	0.01810	0.01903	0.01903	0.01866	0.01747	0.01912	0.02167	0.01866	0.01747	0.01912	0.02167	0.03339	0.03272	0.01553	0.00668
2nes_pos_100	0.04065	0.03503	0.03617	0.03687	0.03687	0.03360	0.03366	0.03473	0.03379	0.03360	0.03366	0.03473	0.03379	0.04461	0.04521	0.02728	0.00680
genes_1k	0.07265	0.06473	0.06301	0.06672	0.06672	0.06290	0.05593	0.05889	0.06075	0.06290	0.05593	0.05889	0.06075	0.11054	0.10709	0.04803	0.01974
genes_28k	0.01697	0.01538	0.01515	0.01610	0.01610	0.01504	0.01510	0.01658	0.01927	0.01504	0.01510	0.01658	0.01927	0.02863	0.03068	0.01298	0.00455
rho_0.0001	0.02814	0.02493	0.02450	0.02614	0.02614	0.02423	0.02235	0.02524	0.02630	0.02423	0.02235	0.02524	0.02630	0.03543	0.04301	0.02034	0.00646
rho_0.01	0.02683	0.02345	0.02402	0.02507	0.02507	0.02272	0.02241	0.02326	0.02514	0.02272	0.02241	0.02326	0.02514	0.03634	0.03950	0.01850	0.00702
shape_0.1	0.01714	0.01604	0.01553	0.01641	0.01641	0.01589	0.01626	0.01829	0.01943	0.01589	0.01626	0.01829	0.01943	0.03013	0.02734	0.01555	0.00209
shape_0.2	0.02365	0.02175	0.02169	0.02186	0.02186	0.02154	0.02136	0.02172	0.02163	0.02154	0.02136	0.02172	0.02163	0.05105	0.05056	0.01874	0.00456
theta_0.0001	0.08575	0.07404	0.07020	0.07764	0.07764	0.07162	0.05987	0.06291	0.07492	0.07162	0.05987	0.06291	0.07492	0.36510	0.13415	0.05592	0.02361
theta_0.01	0.01032	0.00936	0.00965	0.01011	0.01011	0.00898	0.00937	0.01039	0.01250	0.00898	0.00937	0.01039	0.01250	0.01642	0.01651	0.00843	0.00191
alpha_0.1	0.03951	0.03429	0.03401	0.03434	0.03434	0.03325	0.03156	0.03018	0.03038	0.03325	0.03156	0.03018	0.03038	0.05635	0.05409	0.02545	0.00453
alpha_0.7	0.01221	0.01061	0.01123	0.01144	0.01144	0.01032	0.01150	0.01272	0.01369	0.01032	0.01150	0.01272	0.01369	0.02218	0.02659	0.00923	0.00541
base_weakly	0.03846	0.03487	0.03696	0.03705	0.03705	0.03405	0.03842	0.04053	0.04503	0.03405	0.03842	0.04053	0.04503	0.06574	0.07171	0.08030	0.00783
base_weakly_bgs	0.07978	0.07391	0.06709	0.07223	0.07223	0.07387	0.06773	0.07440	0.07981	0.07387	0.06773	0.07440	0.07981	0.15781	0.14336	0.09332	0.00595
