""	bDGRP1	bDGRP2	bAsymptotic1	bAsymptotic2	trueB	scenario
mean	0.237988397388798	0.267400136375067	0.314213348744705	0.339144200942277	0.31271064	baseline
sd	0.00427294612045544	0.00493649587666071	0.0118601541267559	0.0175858618579337	0.00192674229406921	baseline
error	0.074722242611202	0.0453105036249327	0.00991900073339417	0.0268299705693793	0	baseline
mean1	0.219108304203606	0.251504116060446	0.311126001534529	0.332469963299169	0.30207946	fitnessDel1e-2
sd1	0.00564522963993877	0.00694299137928398	0.0126076456676564	0.0173600711676104	0.0021660682636651	fitnessDel1e-2
error1	0.0829711557963937	0.0505753439395536	0.0129211845369143	0.0316863238671086	0	fitnessDel1e-2
mean2	0.181543575874892	0.194274497090294	0.209210146380103	0.224516315280803	0.2124928	fitnessDel-2
sd2	0.00248779423044613	0.00321611238706514	0.00486600450540069	0.0109187614922745	0.00147748669664925	fitnessDel-2
error2	0.0309492241251078	0.0182183029097057	0.00489322445950745	0.0128116776290211	0	fitnessDel-2
mean3	0.233070202792556	0.252657631427829	0.278130346947174	0.299894893178647	0.28298596	fitnessDel2e-1
sd3	0.00362896593767252	0.00471433671700324	0.00818821720364493	0.0167006419226929	0.00203618775406295	fitnessDel2e-1
error3	0.0499157572074443	0.0303283285721713	0.00800521795338319	0.0193670746075107	0	fitnessDel2e-1
mean4	0.422739173288502	0.463915810686793	0.503905255536808	0.5234186334384	0.52375252	gamma1
sd4	0.00276145609143139	0.00312570442576646	0.00403187004174984	0.00575017335843053	0.00380278180262389	gamma1
error4	0.101013346711498	0.0598367093132068	0.0200152333520806	0.00343827045698409	0	gamma1
mean5	0.156838284805048	0.176596965890795	0.211766120204528	0.227329451268416	0.20320166	gamma1e-1
sd5	0.00588507074459621	0.00745956744806943	0.0150462266804459	0.0226419582670997	0.00145111033645668	gamma1e-1
error5	0.0463633751949524	0.0266046941092046	0.014001982589175	0.0272040124328421	0	gamma1e-1
