""	bDGRP1	bDGRP2	bAsymptotic1	bAsymptotic2	trueB	scenario
mean	0.237988397388798	0.267400136375067	0.314213348744705	0.339144200942277	0.31271064	baseline
sd	0.00427294612045544	0.00493649587666071	0.0118601541267559	0.0175858618579337	0.00192674229406921	baseline
error	0.074722242611202	0.0453105036249327	0.00991900073339417	0.0268299705693793	0	baseline
mean1	0.219108304203606	0.251504116060446	0.311126001534529	0.332469963299169	0.30207946	fitnessDel1e-2
sd1	0.00564522963993877	0.00694299137928398	0.0126076456676564	0.0173600711676104	0.0021660682636651	fitnessDel1e-2
error1	0.0829711557963937	0.0505753439395536	0.0129211845369143	0.0316863238671086	0	fitnessDel1e-2
mean2	0.181543575874892	0.194274497090294	0.209210146380103	0.224516315280803	0.2124928	fitnessDel-2
sd2	0.00248779423044613	0.00321611238706514	0.00486600450540069	0.0109187614922745	0.00147748669664925	fitnessDel-2
error2	0.0309492241251078	0.0182183029097057	0.00489322445950745	0.0128116776290211	0	fitnessDel-2
mean3	0.233070202792556	0.252657631427829	0.278130346947174	0.299894893178647	0.28298596	fitnessDel2e-1
sd3	0.00362896593767252	0.00471433671700324	0.00818821720364493	0.0167006419226929	0.00203618775406295	fitnessDel2e-1
error3	0.0499157572074443	0.0303283285721713	0.00800521795338319	0.0193670746075107	0	fitnessDel2e-1
mean4	0.422739173288502	0.463915810686793	0.503905255536808	0.5234186334384	0.52375252	gamma1
sd4	0.00276145609143139	0.00312570442576646	0.00403187004174984	0.00575017335843053	0.00380278180262389	gamma1
error4	0.101013346711498	0.0598367093132068	0.0200152333520806	0.00343827045698409	0	gamma1
mean5	0.156838284805048	0.176596965890795	0.211766120204528	0.227329451268416	0.20320166	gamma1e-1
sd5	0.00588507074459621	0.00745956744806943	0.0150462266804459	0.0226419582670997	0.00145111033645668	gamma1e-1
error5	0.0463633751949524	0.0266046941092046	0.014001982589175	0.0272040124328421	0	gamma1e-1
mean6	0.220582035374837	0.252360086027862	0.306123148800248	0.332413690463754	0.3053651	fitnessDelPos1e-2
sd6	0.00585078165589534	0.00750841671613081	0.012895289094202	0.0198557374952393	0.00171806349517979	fitnessDelPos1e-2
error6	0.0847830646251629	0.0530050139721382	0.0109865103897721	0.0289525717956552	0	fitnessDelPos1e-2
mean7	0.181612720572818	0.193397213573086	0.204865024877731	0.220015457584102	0.21561868	fitnessDelPos-2
sd7	0.00305975510420102	0.00373115568494962	0.0050644867814195	0.00928093150637254	0.00135982316437372	fitnessDelPos-2
error7	0.0340059594271815	0.0222214664269138	0.0110297052154499	0.00741026019313093	0	fitnessDelPos-2
mean8	0.234321334046015	0.25347133491523	0.275758060815697	0.300307862864412	0.28615648	fitnessDelPos2e-1
sd8	0.00317679344853091	0.00408731238446756	0.00657334167632452	0.0122853910586884	0.00200592727033598	fitnessDelPos2e-1
error8	0.0518351459539846	0.0326851450847698	0.0104948927630318	0.0157951134051255	0	fitnessDelPos2e-1
mean9	0.42402828708131	0.465127428913064	0.500883772136753	0.521966148898002	0.5293379	gammaPos1
sd9	0.00258816088035875	0.00274038372797289	0.00301561647248782	0.00470384593334124	0.00344031889984824	gammaPos1
error9	0.10530961291869	0.064210471086936	0.0284541278632467	0.00759728888525971	0	gammaPos1
