""	DGRP	asymp1	asymp2	trueValue	scenario
mean	0.1069800608254	0.314213348744705	0.339144200942277	0.31271064	baseline
sd	0.00283783507950035	0.0118601541267559	0.0175858618579337	0.00192674229406921	baseline
error	0.2057305791746	0.00991900073339417	0.0268299705693793	0	baseline
mean1	0.102842645613758	0.311126001534529	0.332469963299169	0.30207946	fitnessDel1e-2
sd1	0.00361158799277063	0.0126076456676564	0.0173600711676104	0.0021660682636651	fitnessDel1e-2
error1	0.199236814386242	0.0129211845369143	0.0316863238671086	0	fitnessDel1e-2
mean2	0.0747280330455468	0.209210146380103	0.224516315280803	0.2124928	fitnessDel-2
sd2	0.00164847193317377	0.00486600450540069	0.0109187614922745	0.00147748669664925	fitnessDel-2
error2	0.137764766954453	0.00489322445950745	0.0128116776290211	0	fitnessDel-2
mean3	0.0980178803965289	0.278130346947174	0.299894893178647	0.28298596	fitnessDel2e-1
sd3	0.00263200172351458	0.00818821720364493	0.0167006419226929	0.00203618775406295	fitnessDel2e-1
error3	0.184968079603471	0.00800521795338319	0.0193670746075107	0	fitnessDel2e-1
mean4	0.173838333698329	0.503905255536808	0.523969422950443	0.52375252	gamma1
sd4	0.0013195763530332	0.00403187004174984	0.00553312644599453	0.00380278180262389	gamma1
error4	0.349914186301671	0.0200152333520806	0.00339475477301182	0	gamma1
mean5	0.0736226746647176	0.211766120204528	0.227329451268416	0.20320166	gamma1e-1
sd5	0.00372587706048956	0.0150462266804459	0.0226419582670997	0.00145111033645668	gamma1e-1
error5	0.129578985335282	0.014001982589175	0.0272040124328421	0	gamma1e-1
mean6	0.100779130884581	0.306123148800248	0.332413690463754	0.3053651	fitnessDelPos1e-2
sd6	0.00372360158551075	0.012895289094202	0.0198557374952393	0.00171806349517979	fitnessDelPos1e-2
error6	0.204585969115419	0.0109865103897721	0.0289525717956552	0	fitnessDelPos1e-2
mean7	0.0721953978240024	0.204865024877731	0.220015457584102	0.21561868	fitnessDelPos-2
sd7	0.0017964744848459	0.0050644867814195	0.00928093150637254	0.00135982316437372	fitnessDelPos-2
error7	0.143423282175998	0.0110297052154499	0.00741026019313093	0	fitnessDelPos-2
mean8	0.0960248311112307	0.275758060815697	0.300307862864412	0.28615648	fitnessDelPos2e-1
sd8	0.00212313661804693	0.00657334167632452	0.0122853910586884	0.00200592727033598	fitnessDelPos2e-1
error8	0.190131648888769	0.0104948927630318	0.0157951134051255	0	fitnessDelPos2e-1
mean9	0.170098877521241	0.500883772136753	0.521966148898002	0.5293379	gammaPos1
sd9	0.00147923116533816	0.00301561647248782	0.00470384593334124	0.00344031889984824	gammaPos1
error9	0.359239022478759	0.0284541278632467	0.00759728888525971	0	gammaPos1
mean10	0.0701677057024844	0.201118479456223	0.219652212086018	0.20541838	gammaPos1e-1
sd10	0.00359980569626883	0.0141022725751694	0.0201990962403316	0.00130780211150508	gammaPos1e-1
error10	0.135250674297516	0.0125879055059179	0.0192265561209831	0	gammaPos1e-1
