""	alphaStandard	alphaDGRP0.05	alphaDGRP0.1	alphaFWW0.05	alphaFWW0.1	alphaAsymptotic	alphaAsymptotic0.1	trueAlpha	scenario
mean	-0.278121524910839	-0.133626236645417	-0.154241658240051	0.128108183017734	0.177205410708592	0.255068	0.303926086956522	0.32385182	baseline
sd	0.0601691635678605	0.0525810779630419	0.0532968992984574	0.040146042969113	0.0378820299037865	0.0333402584371067	0.053479630326914	0.0184684211657276	baseline
error	0.601973344910839	0.457478056645417	0.478093478240051	0.195743636982266	0.146646409291408	0.06878382	0.0435606956521739	0	baseline
mean1	-0.31890229399092	-0.162681354355976	-0.184781721047527	0.117142494190515	0.170312906049108	0.251652	0.317028125	0.3303927	length10e6
sd1	0.239759213801127	0.203014986110873	0.20698261619172	0.149126981456649	0.14072811208874	0.134617559942594	0.149330309855475	0.0663998615920152	length10e6
error1	0.64929499399092	0.493074054355976	0.515174421047527	0.217390955916007	0.169091923314427	0.1105591	0.12266546875	0	length10e6
mean2	-0.277893595543212	-0.131504528268678	-0.151991885593344	0.133529386771382	0.184515502286008	0.25896	0.30259	0.32656426	length10e8
sd2	0.0190211841188685	0.0155640076677253	0.0157428317633235	0.0107055680609962	0.00953381455117914	0.00834965476495152	0.0142699234155518	0.00631586621722449	length10e8
error2	0.604457855543212	0.458068788268678	0.478556145593344	0.193034873228618	0.142048757713992	0.06760426	0.02398198	0	length10e8
mean3	-0.263142379495779	-0.115535361671282	-0.133461779323808	0.142326620928295	0.197261834383452	0.3047	0.360232352941177	0.34315178	mu1e-10
sd3	0.167201304599992	0.134441666348101	0.13457066695626	0.0951158532899754	0.086580087673127	0.0995748317152036	0.148472786447578	0.0530843808348942	mu1e-10
error3	0.606294159495779	0.458687141671282	0.476613559323808	0.203489614597229	0.153799359700181	0.0846069782608696	0.122223088235294	0	mu1e-10
mean4	-0.282931484160463	-0.154924073064768	-0.176114288708178	0.128718622758201	0.178866500408515	0.246732	0.288564	0.30599278	mu1e-8
sd4	0.0165945761133748	0.014094866525533	0.0143477912316692	0.0106954995101256	0.0100673320788776	0.0104136770349265	0.0178326433079042	0.00505027840125711	mu1e-8
error4	0.588924264160463	0.460916853064768	0.482107068708178	0.177274157241799	0.127126279591485	0.05926078	0.02084546	0	mu1e-8
mean5	-0.735880322657999	-0.535486941130981	-0.563402096898178	-0.17951490706146	-0.111528858102721	0.00428	0.0630466666666667	0.08684845	rb1e-4
sd5	0.10148135804272	0.0867257894903407	0.0882051012865066	0.064906905404353	0.0614975498868428	0.0558587979294439	0.0735875471184431	0.0142028001507643	rb1e-4
error5	0.822728772657999	0.622335391130981	0.650250546898178	0.26636335706146	0.198377308102721	0.083677658	0.0569863377777778	0	rb1e-4
mean6	0.024860975883722	0.134058838571926	0.118134810271567	0.335626418150552	0.373027849837895	0.422432	0.469252	0.48768318	rb1e-3
sd6	0.0550609980216048	0.0473638328417368	0.0477303328728685	0.0365008364716639	0.0333845314809829	0.0288399697132508	0.0374677670451141	0.0178124246910717	rb1e-3
error6	0.462822204116278	0.353624341428074	0.369548369728433	0.152056761849448	0.114655330162105	0.06525118	0.02737902	0	rb1e-3
mean7	0.0086691107293704	0.119177580276466	0.102827601246029	0.328115752314795	0.366668537214793	0.41937	0.449582978723404	0.46806852	sb2e-1
sd7	0.048152324839335	0.0415636518774743	0.0422564908748304	0.0322049764526944	0.0304588756259089	0.026870143130187	0.0355382850455364	0.018486476862434	sb2e-1
error7	0.45939940927063	0.348890939723534	0.365240918753971	0.139952767685205	0.101399982785207	0.04903496	0.0305982340425532	0	sb2e-1
mean8	-0.264365820910355	-0.0758951318673003	-0.107872188180498	0.26456731775183	0.308945233608989	0.358574	0.408395744680851	0.43293502	sd-2e-1
sd8	0.0753634337350256	0.0598015382866701	0.061548632945399	0.0372886077543672	0.0341606464256347	0.0291398794697268	0.0430492688290522	0.0227072222202271	sd-2e-1
error8	0.697300840910355	0.5088301518673	0.540807208180498	0.16836770224817	0.123989786391011	0.07436102	0.0391147234042553	0	sd-2e-1
mean9	-0.11764238874421	-0.0529436852401163	-0.0568965535742194	0.0635070866257246	0.104490574839504	0.200626	0.223228888888889	0.2382048	sd-2e-3
sd9	0.0539552341769547	0.0485750677460799	0.0488635761966325	0.0415108724011561	0.0402333853926562	0.0357220609250739	0.0502230552916515	0.0137358557529302	sd-2e-3
error9	0.35584718874421	0.291148485240116	0.295101353574219	0.174697713374275	0.133714225160497	0.04192736	0.0406110888888889	0	sd-2e-3
mean10	-0.191641435183925	-0.049684135698977	-0.0688645830674355	0.205673566543281	0.256433748645511	0.348041666666667	0.399237931034483	0.37316834	t2e4
sd10	0.219638217985115	0.19311899995096	0.193503812688198	0.151197000026598	0.135074774112114	0.154056463582776	0.171284686609735	0.0651870225912383	t2e4
error10	0.564809775183925	0.422852475698977	0.442032923067436	0.179384633438308	0.14258558431756	0.107176229166667	0.131660689655172	0	t2e4
mean11	-0.282247964393572	-0.135927170238879	-0.156657546729825	0.128526458452312	0.1786289217861	0.252806	0.299686	0.32194852	t2e6
sd11	0.0183103783300035	0.0151156287875354	0.0152192374473303	0.0113800709962003	0.0106980265745312	0.0122146684985968	0.0169180860836767	0.00570594541072766	t2e6
error11	0.604196484393572	0.457875690238879	0.478606066729825	0.193422061547688	0.1433195982139	0.06914252	0.0239518	0	t2e6
