id	pop	alpha	pvalue	test
FBgn0000008	ZI	-0.105	0.7596399583822381	std
FBgn0000008	ZI	0.05487804878048774	0.8763638693103916	emkt1
FBgn0000008	ZI	0.011257035647279645	1.0	emkt2
FBgn0000008	ZI	0.6025641025641026	0.13441053825227883	fww1
FBgn0000008	ZI	0.7832167832167832	0.06102800566073779	fww2
FBgn0000008	ZI	0.603	0.008430627553347935	imp1
FBgn0000008	ZI	0.783	4.564712679341147e-05	imp2
FBgn0000014	ZI	-4.143	0.17971217971217723	std
FBgn0000015	ZI	-0.258	0.9999999999999918	std
FBgn0000015	ZI	-0.16129032258064502	0.9999999999999983	emkt1
FBgn0000015	ZI	0.25	1.0	fww1
FBgn0000015	ZI	0.25	1.0	imp1
FBgn0000017	ZI	0.559	0.005891463930605885	std
FBgn0000017	ZI	0.5417156286721504	0.00943780068344842	emkt1
FBgn0000017	ZI	-0.30434782608695654	0.999999999999891	fww1
FBgn0000017	ZI	-0.304	0.2845674664344722	imp1
FBgn0000018	ZI	0.59	0.06912087682628398	std
FBgn0000018	ZI	0.5641025641025641	0.11042312641549061	emkt1
FBgn0000018	ZI	0.5641025641025641	0.11042312641549061	emkt2
FBgn0000018	ZI	0.33333333333333337	0.6786006901539752	fww1
FBgn0000018	ZI	0.33333333333333337	0.6786006901539752	fww2
FBgn0000018	ZI	0.333	0.38821822034389475	imp1
FBgn0000018	ZI	0.333	0.38821822034389475	imp2
FBgn0000022	ZI	0.847	0.057821583050941344	std
FBgn0000024	ZI	-5.079	0.014194217544899268	std
FBgn0000024	ZI	-4.25	0.026116638075563473	emkt1
FBgn0000024	ZI	-1.625	0.5672043010752672	fww1
FBgn0000024	ZI	-1.625	0.31828827828871026	imp1
FBgn0000028	ZI	-inf	0.9999999999999984	std
FBgn0000032	ZI	0.08	1.0	std
FBgn0000032	ZI	0.24	0.6192619322027808	emkt1
FBgn0000032	ZI	0.8	0.19605911330049225	fww1
FBgn0000032	ZI	0.8	0.01703117253665322	imp1
FBgn0000036	ZI	0.644	0.4150432900432993	std
FBgn0000037	ZI	-0.639	0.4309215697563839	std
FBgn0000037	ZI	-0.5365853658536586	0.5845219179941	emkt1
FBgn0000037	ZI	0.15999999999999992	1.0	fww1
FBgn0000037	ZI	0.16	0.7573932243088096	imp1
FBgn0000038	ZI	0.994	5.3407948144790964e-05	std
FBgn0000039	ZI	-inf	0.5833953989893513	std
FBgn0000047	ZI	-inf	0.9999999999999937	std
FBgn0000052	ZI	-2.622	1.2247139957704871e-05	std
FBgn0000052	ZI	-1.9256965944272442	0.0003235727255762647	emkt1
FBgn0000052	ZI	-2.120743034055727	0.00018284333114919153	emkt2
FBgn0000052	ZI	-0.6676470588235295	0.24730846112057595	fww1
FBgn0000052	ZI	-0.39764705882352924	0.49121346223309353	fww2
FBgn0000052	ZI	-0.668	0.13044355713823494	imp1
FBgn0000052	ZI	-0.398	0.34750317378660944	imp2
FBgn0000053	ZI	-0.922	0.023396314220860224	std
FBgn0000053	ZI	-0.45899554990464075	0.21320004767852502	emkt1
FBgn0000053	ZI	-0.5104895104895106	0.16898910575471995	emkt2
FBgn0000053	ZI	0.3181818181818181	0.34601574243770283	fww1
FBgn0000053	ZI	0.5594405594405594	0.12369810340691219	fww2
FBgn0000053	ZI	0.318	0.20207615540832974	imp1
FBgn0000053	ZI	0.559	0.013735059090799598	imp2
FBgn0000054	ZI	-0.25	1.0	std
FBgn0000055	ZI	0.375	0.6308901621994558	std
FBgn0000055	ZI	0.375	0.6308901621994567	emkt1
FBgn0000055	ZI	0.375	0.6308901621994567	emkt2
FBgn0000055	ZI	0.5	1.0	fww1
FBgn0000055	ZI	0.25	1.0	fww2
FBgn0000055	ZI	0.5	0.596342936001377	imp1
FBgn0000055	ZI	0.25	0.9999999999999983	imp2
FBgn0000056	ZI	-4.261	0.14055051224038764	std
FBgn0000056	ZI	-5.217391304347825	0.0812492818921005	emkt1
FBgn0000056	ZI	-4.260869565217392	0.14055051224038764	emkt2
FBgn0000056	ZI	-10.0	0.08333333333333375	fww1
FBgn0000056	ZI	-2.6666666666666665	0.4500000000000001	fww2
FBgn0000056	ZI	-10.0	0.009646320040024874	imp1
FBgn0000056	ZI	-2.667	0.40235228810326024	imp2
FBgn0000057	ZI	0.81	0.0015797683434423241	std
FBgn0000061	ZI	-4.107	0.08009196618487313	std
FBgn0000061	ZI	-3.7142857142857144	0.08260049705911443	emkt1
FBgn0000061	ZI	-1.75	0.4892857142857136	fww1
FBgn0000061	ZI	-1.75	0.4267241379310296	imp1
FBgn0000063	ZI	0.275	0.5295084189097334	std
FBgn0000063	ZI	0.30000000000000004	0.40754195596148396	emkt1
FBgn0000063	ZI	0.32500000000000007	0.39985171779254464	emkt2
FBgn0000063	ZI	0.4375	0.7078576372961127	fww1
FBgn0000063	ZI	0.625	0.43066407970131687	fww2
FBgn0000063	ZI	0.438	0.1949327185753728	imp1
FBgn0000063	ZI	0.625	0.03992504014356758	imp2
FBgn0000064	ZI	0.844	0.022055616297756528	std
FBgn0000071	ZI	-0.224	0.9999999999999974	std
FBgn0000071	ZI	-0.4285714285714286	0.7247068599260034	emkt1
FBgn0000071	ZI	-0.4285714285714286	0.7247068599260034	emkt2
FBgn0000071	ZI	-1.8571428571428572	0.5657894736842115	fww1
FBgn0000071	ZI	-1.8571428571428572	0.5657894736842115	fww2
FBgn0000071	ZI	-1.857	0.18984753746082514	imp1
FBgn0000071	ZI	-1.857	0.18984753746082514	imp2
FBgn0000075	ZI	-3.355	0.06927199623384447	std
FBgn0000075	ZI	-2.1935483870967745	0.19196153886010325	emkt1
FBgn0000075	ZI	-2.1935483870967745	0.19196153886010325	emkt2
FBgn0000075	ZI	0.09999999999999998	0.999999999999993	fww1
FBgn0000075	ZI	0.09999999999999998	0.999999999999993	fww2
FBgn0000075	ZI	0.1	0.9999999999999992	imp1
FBgn0000075	ZI	0.1	0.9999999999999992	imp2
FBgn0000077	ZI	-1.154	0.45126908686418993	std
FBgn0000078	ZI	0.747	0.01953601664338511	std
FBgn0000078	ZI	0.7617021276595745	0.017439787584651374	emkt1
FBgn0000078	ZI	0.7617021276595745	0.017439787584651374	emkt2
FBgn0000078	ZI	0.8090909090909091	0.06686351221672637	fww1
FBgn0000078	ZI	0.8833333333333333	0.0778032036613269	fww2
FBgn0000078	ZI	0.809	0.004764173778760527	imp1
FBgn0000078	ZI	0.883	0.00036534271458144577	imp2
FBgn0000079	ZI	0.8	0.09264579621484222	std
FBgn0000079	ZI	0.8571428571428571	0.03223671771601478	emkt1
FBgn0000079	ZI	0.8285714285714285	0.08138314528009569	emkt2
FBgn0000079	ZI	0.9555555555555556	0.034502262443438944	fww1
FBgn0000079	ZI	0.9333333333333333	0.10256410256410253	fww2
FBgn0000079	ZI	0.956	0.0019974238240492133	imp1
FBgn0000079	ZI	0.933	0.003729681748257578	imp2
FBgn0000083	ZI	-inf	0.9999999999999958	std
FBgn0000083	ZI	-inf	0.9999999999999974	emkt1
FBgn0000083	ZI	-inf	0.9999999999999974	emkt2
FBgn0000083	ZI	-inf	0.9999999999999993	fww1
FBgn0000083	ZI	-inf	0.9999999999999998	fww2
FBgn0000083	ZI	-inf	0.9999999999999983	imp1
FBgn0000083	ZI	-inf	0.9999999999999968	imp2
FBgn0000084	ZI	-3.889	0.11935460841008014	std
FBgn0000092	ZI	0.407	0.43042762887667807	std
FBgn0000094	ZI	1.0	0.01498501498501502	std
FBgn0000097	ZI	0.19	0.7938824485526365	std
FBgn0000097	ZI	0.40340909090909094	0.40808537710461606	emkt1
FBgn0000097	ZI	0.3181818181818181	0.5893273229719661	emkt2
FBgn0000097	ZI	0.8660714285714286	0.061056774841354695	fww1
FBgn0000097	ZI	0.8125	0.21366878230713654	fww2
FBgn0000097	ZI	0.866	0.004107944826746478	imp1
FBgn0000097	ZI	0.812	0.01410360224194204	imp2
FBgn0000099	ZI	-inf	0.21052631578947414	std
FBgn0000099	ZI	-inf	0.21052631578947414	emkt1
FBgn0000099	ZI	-inf	0.23076923076923084	fww1
FBgn0000099	ZI	-inf	0.2105263157894745	imp1
FBgn0000100	ZI	-inf	0.021978021978021955	std
FBgn0000108	ZI	0.233	0.7608355797835411	std
FBgn0000109	ZI	-inf	0.017528798464404874	std
FBgn0000109	ZI	-inf	0.0785891117959426	emkt1
FBgn0000109	ZI	-inf	0.03731905279892899	emkt2
FBgn0000109	ZI	-inf	0.4853801169590648	fww1
FBgn0000109	ZI	-inf	0.42857142857142866	fww2
FBgn0000109	ZI	-inf	0.5497219132369293	imp1
FBgn0000109	ZI	-inf	0.5448275862068974	imp2
FBgn0000114	ZI	0.672	0.10305732404347931	std
FBgn0000114	ZI	0.7297297297297297	0.08481983805894139	emkt1
FBgn0000114	ZI	0.7104247104247103	0.08903073997443685	emkt2
FBgn0000114	ZI	0.9206349206349207	0.030959752321981514	fww1
FBgn0000114	ZI	0.8809523809523809	0.14729697547035048	fww2
FBgn0000114	ZI	0.921	0.0011238709006176199	imp1
FBgn0000114	ZI	0.881	0.0036748316347814418	imp2
FBgn0000116	ZI	-3.405	0.06308085059668264	std
FBgn0000116	ZI	-3.0476190476190474	0.11194264024886208	emkt1
FBgn0000116	ZI	-3.0476190476190474	0.11194264024886208	emkt2
FBgn0000116	ZI	-2.0	0.4009661835748782	fww1
FBgn0000116	ZI	-1.5	0.6404053612291565	fww2
FBgn0000116	ZI	-2.0	0.20337093148632357	imp1
FBgn0000116	ZI	-1.5	0.323183304293984	imp2
FBgn0000117	ZI	0.714	0.5384615384615381	std
FBgn0000119	ZI	-1.141	0.11164091913692092	std
FBgn0000119	ZI	-0.6058394160583942	0.38517789472595726	emkt1
FBgn0000119	ZI	-0.6727493917274938	0.3855786358425754	emkt2
FBgn0000119	ZI	0.2666666666666667	0.7475967617979079	fww1
FBgn0000119	ZI	0.52991452991453	0.46981861575219247	fww2
FBgn0000119	ZI	0.267	0.5678137862959142	imp1
FBgn0000119	ZI	0.53	0.21301629405304	imp2
FBgn0000120	ZI	-3.286	0.05679939684308937	std
FBgn0000120	ZI	-2.9285714285714284	0.09883581032995493	emkt1
FBgn0000120	ZI	-3.2857142857142856	0.05679939684308924	emkt2
FBgn0000120	ZI	-2.0	0.3301307388263881	fww1
FBgn0000120	ZI	-2.75	0.29849802371541306	fww2
FBgn0000120	ZI	-2.0	0.2862651733619467	imp1
