id	metapop	alpha	alpha_imputed	pvalue	pvalue_imputed
ENSG00000000457	AFR	0.52381		0.33321	
ENSG00000000460	AFR	-1.28571	-0.71429	0.15535	0.3959
ENSG00000000938	AFR	-0.125		1.0	
ENSG00000000971	AFR	-0.00446	0.03571	1.0	1.0
ENSG00000001460	AFR	-4.27778	-2.125	0.0897	0.38454
ENSG00000001461	AFR	-1.77778		0.39045	
ENSG00000006555	AFR	-9.5		0.03276	
ENSG00000007341	AFR	0.42857		1.0	
ENSG00000007908	AFR	-0.68	0.2	0.71595	0.71044
ENSG00000007923	AFR	-1.75		0.27337	
ENSG00000007933	AFR	-11.22222	-6.5	0.0211	0.16473
ENSG00000007968	AFR	-2.5		0.32867	
ENSG00000008118	AFR	-1.8		0.61991	
ENSG00000008128	AFR	0.29412		0.62535	
ENSG00000008130	AFR	0.25134		0.77802	
ENSG00000009307	AFR	-1.5		0.6044	
ENSG00000009709	AFR	-0.25		1.0	
ENSG00000009724	AFR	-0.11111	0.53704	1.0	0.32173
ENSG00000009790	AFR	0.51786	0.625	0.44755	0.41387
ENSG00000010072	AFR	-7.57143	-0.66667	0.02447	1.0
ENSG00000010165	AFR	-0.66667	0.16667	0.69836	1.0
ENSG00000010803	AFR	-11.0		0.09491	
ENSG00000010932	AFR	-0.21875	0.5	1.0	0.64241
ENSG00000011007	AFR	-0.00945	0.70175	1.0	0.02033
ENSG00000011021	AFR	0.11029	0.54167	1.0	0.31299
ENSG00000014914	AFR	-2.3	-2.0	0.32537	0.34727
ENSG00000016490	AFR	-3.0	-1.66667	0.08355	0.28899
ENSG00000016602	AFR	-0.5069		0.40688	
ENSG00000018625	AFR	-1.6		0.42405	
ENSG00000021852	AFR	-3.0		0.08352	
ENSG00000023572	AFR	-2.33333		0.54545	
ENSG00000023902	AFR	0.375		1.0	
ENSG00000026751	AFR	0.1		1.0	
ENSG00000027644	AFR	-0.09317	0.42857	1.0	0.35684
ENSG00000027869	AFR	0.0		1.0	
ENSG00000028137	AFR	-3.95238	-1.66667	0.06589	0.41387
ENSG00000031698	AFR	-2.33333		0.54545	
ENSG00000033122	AFR	-1.90909		0.63266	
ENSG00000034971	AFR	0.3		0.72471	
ENSG00000036549	AFR	0.22222		1.0	
ENSG00000040487	AFR	0.70833	0.75	0.54416	0.53083
ENSG00000041988	AFR	-1.28571		0.43343	
ENSG00000042781	AFR	-0.34084	0.1545	0.22749	0.53275
ENSG00000043514	AFR	-9.4		0.05617	
ENSG00000047410	AFR	-1.88889		0.05633	
ENSG00000048707	AFR	-1.98256	0.525	0.00229	0.10691
ENSG00000049089	AFR	-0.25		0.74578	
ENSG00000049239	AFR	-0.37143	0.67347	0.77139	0.10038
ENSG00000049246	AFR	-0.21263	0.05263	0.67678	1.0
ENSG00000049249	AFR	0.33333		1.0	
ENSG00000050628	AFR	0.22222	0.75	1.0	0.19195
ENSG00000053371	AFR	-0.28		1.0	
ENSG00000054267	AFR	-0.14286	0.66667	0.7955	0.08194
ENSG00000054277	AFR	-0.47619	0.42857	0.7139	0.49277
ENSG00000054282	AFR	0.17391	0.52174	0.81695	0.20243
ENSG00000054392	AFR	-2.71429		0.15271	
ENSG00000054523	AFR	-5.0	-0.5	0.01052	1.0
ENSG00000055732	AFR	-0.5		1.0	
ENSG00000057468	AFR	-1.6	-1.4	0.26626	0.43844
ENSG00000058085	AFR	0.17614	0.81818	1.0	0.02011
ENSG00000058453	AFR	-3.72639	-2.84375	1e-05	0.0001
ENSG00000058668	AFR	-3.875		0.24158	
ENSG00000058804	AFR	-0.02857		1.0	
ENSG00000059588	AFR	-0.91342	0.53636	0.23423	0.24476
ENSG00000060656	AFR	-4.4	-3.0	0.03311	0.1118
ENSG00000060688	AFR	-2.5		0.34985	
ENSG00000060718	AFR	-9.57143	-2.6	2e-05	0.07914
ENSG00000064703	AFR	-1.0	0.33333	0.64885	0.66992
ENSG00000064886	AFR	-1.2		0.47255	
ENSG00000065183	AFR	-0.58333	0.58333	0.71617	0.42586
ENSG00000065243	AFR	0.61111		0.61462	
ENSG00000065526	AFR	-0.61932	0.525	0.18742	0.07956
ENSG00000065600	AFR	0.28889		1.0	
ENSG00000065978	AFR	-4.0		0.46429	
ENSG00000066056	AFR	-0.33333		0.75969	
ENSG00000066135	AFR	-1.5	0.16667	0.28929	1.0
