id	pop	DAF0f	DAF4f	p0	pi	di	d0	chr	name	mi	m0	recomb
FBgn0000008	RAL	30;7;3;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0	19;5;5;2;0;1;0;1;1;0;1;1;1;0;0;0;1;0;0;1	39.0	43.0	26.0	31.0	2R	a	2539	667	2.169283674
FBgn0000008	ZI	69;3;1;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1	57;7;4;3;1;2;2;2;1;0;0;0;0;0;1;0;1;0;0;0	81.0	78.0	25.0	32.0	2R	a	2539	667	2.169283674
FBgn0000014	RAL	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0	4.0	2.0	1.0	20.0	3R	abd-A	1516	0	0.7616989759999999
FBgn0000014	ZI	5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	11;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1	17.0	5.0	1.0	18.0	3R	abd-A	1516	0	0.7616989759999999
FBgn0000015	RAL	3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4;0;3;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0	12.0	4.0	0.0	3.0	3R	Abd-B	1292	0	0.43525655799999996
FBgn0000015	ZI	9;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	17;4;2;0;0;0;1;0;3;0;0;0;0;1;1;0;0;0;0;0	29.0	12.0	1.0	3.0	3R	Abd-B	1292	0	0.43525655799999996
FBgn0000017	RAL	14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	14;2;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2	21.0	14.0	139.0	93.0	3L	Abl	4875	0	0.8999361090000001
FBgn0000017	ZI	19;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2	30;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1	39.0	25.0	135.0	91.0	3L	Abl	4875	0	0.8999361090000001
FBgn0000018	RAL	6;0;0;0;0;1;0;0;1;0;0;0;2;1;0;0;0;0;0;0	4;2;1;0;0;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0	12.0	11.0	18.0	17.0	2L	abo	1275	271	2.931876732
FBgn0000018	ZI	7;3;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0	16;5;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1	26.0	14.0	19.0	14.0	2L	abo	1275	271	2.931876732
FBgn0000022	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	ac	392	75	0.0
FBgn0000022	ZI	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2.0	2.0	83.0	21.0	X	ac	392	75	0.0
FBgn0000024	RAL	6;0;1;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0	8;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;2	14.0	12.0	1.0	24.0	3R	Ace	1706	193	0.870513115
FBgn0000024	ZI	13;6;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0	26;1;3;1;0;0;3;1;0;0;0;0;0;0;0;1;0;1;1;1	39.0	22.0	1.0	22.0	3R	Ace	1706	193	0.870513115
FBgn0000028	RAL	2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5.0	3.0	0.0	4.0	X	acj6	1109	0	2.170023276
FBgn0000028	ZI	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1	12.0	1.0	0.0	4.0	X	acj6	1109	0	2.170023276
FBgn0000032	RAL	1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	10.0	5.0	11.0	17.0	3R	Acph-1	1218	0	2.0674686490000003
FBgn0000032	ZI	15;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	18;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1	24.0	20.0	11.0	13.0	3R	Acph-1	1218	0	2.0674686490000003
FBgn0000036	RAL	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	8;1;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0	13.0	2.0	1.0	11.0	3R	nAChRalpha1	1573	154	2.720353485
FBgn0000036	ZI	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	28;8;2;2;0;1;0;1;1;0;0;0;0;0;1;1;0;1;0;4	50.0	2.0	1.0	8.0	3R	nAChRalpha1	1573	154	2.720353485
FBgn0000037	RAL	10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0	7;1;1;1;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0	14.0	12.0	5.0	25.0	2R	mAChR-A	1870	472	1.301570205
FBgn0000037	ZI	13;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0	33;3;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1	42.0	15.0	4.0	22.0	2R	mAChR-A	1870	472	1.301570205
FBgn0000038	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	10;3;5;2;0;0;1;1;0;0;0;1;0;0;0;0;0;2;0;0	25.0	0.0	5.0	4.0	3L	nAChRbeta1	1007	238	2.215227346
FBgn0000038	ZI	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	15;5;1;1;1;1;2;0;1;1;1;0;0;0;0;0;2;0;1;1	33.0	1.0	5.0	1.0	3L	nAChRbeta1	1007	238	2.215227346
FBgn0000039	RAL	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	8;0;3;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;2;2	21.0	2.0	0.0	12.0	3R	nAChRalpha2	1096	268	5.875963528
FBgn0000039	ZI	5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	23;5;3;0;1;2;0;1;2;1;0;1;1;1;0;1;1;1;0;1	45.0	5.0	0.0	10.0	3R	nAChRalpha2	1096	268	5.875963528
FBgn0000042	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	Act5C	732	190	4.7017170980000005
FBgn0000042	ZI	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	10;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0	12.0	0.0	0.0	5.0	X	Act5C	732	190	4.7017170980000005
FBgn0000043	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	17.0	2R	Act42A	894	205	0.32539255100000003
FBgn0000043	ZI	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2.0	0.0	0.0	17.0	2R	Act42A	894	205	0.32539255100000003
