id	pop	DAF0f	DAF4f	p0	pi	di	d0	chr	mi	m0	recomb
FBgn0000008	RAL	30;7;3;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0	19;5;5;2;0;1;0;1;1;0;1;1;1;0;0;0;1;0;0;1	39.0	43.0	26.0	31.0	2R	2539	667	2.169283674
FBgn0000014	RAL	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0	4.0	2.0	1.0	20.0	3R	1153	292	0.7616989759999999
FBgn0000015	RAL	3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4;0;3;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0	12.0	4.0	0.0	3.0	3R	962	232	0.43525655799999996
FBgn0000017	RAL	14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	14;2;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2	21.0	14.0	139.0	93.0	3L	3325	913	0.8999361090000001
FBgn0000018	RAL	6;0;0;0;0;1;0;0;1;0;0;0;2;1;0;0;0;0;0;0	4;2;1;0;0;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0	12.0	11.0	18.0	18.0	2L	1026	238	2.931876732
FBgn0000022	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	392	75	0.0
FBgn0000024	RAL	6;0;1;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0	8;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;2	14.0	12.0	1.0	24.0	3R	1266	328	0.870513115
FBgn0000028	RAL	2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5.0	3.0	0.0	4.0	X	775	193	2.170023276
FBgn0000032	RAL	1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	5;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	10.0	5.0	11.0	17.0	3R	884	209	2.0674686490000003
FBgn0000036	RAL	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	8;1;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0	13.0	2.0	1.0	11.0	3R	1142	287	2.720353485
FBgn0000037	RAL	10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0	7;1;1;1;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0	14.0	12.0	5.0	25.0	2R	1565	439	1.301570205
FBgn0000038	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	10;3;5;2;0;0;1;1;0;0;0;1;0;0;0;0;0;2;0;0	25.0	0.0	5.0	4.0	3L	1007	238	2.215227346
FBgn0000039	RAL	2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	8;0;3;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;2;2	21.0	2.0	0.0	12.0	3R	1096	268	5.875963528
FBgn0000042	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	0.0	X	732	190	4.7017170980000005
FBgn0000043	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0.0	0.0	0.0	17.0	2R	738	185	0.32539255100000003
FBgn0000044	RAL	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	8;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0	10.0	0.0	0.0	7.0	2R	732	191	7.158636125
